timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-06 21:02:21.940649,MG Road,82.9,16.73,36.04,455.4
2025-12-06 22:02:21.940649,MG Road,50.6,13.19,29.73,450.8
2025-12-06 23:02:21.940649,MG Road,64.1,14.05,28.72,402.8
2025-12-07 00:02:21.940649,MG Road,64.5,15.89,28.07,433.7
2025-12-07 01:02:21.940649,MG Road,61.5,17.0,35.41,411.0
2025-12-07 02:02:21.940649,MG Road,63.8,17.38,33.61,419.0
2025-12-07 03:02:21.940649,MG Road,62.4,13.88,25.2,424.4
2025-12-07 04:02:21.940649,MG Road,54.6,13.27,25.7,414.8
2025-12-07 05:02:21.940649,MG Road,55.3,16.85,30.89,438.1
2025-12-07 06:02:21.940649,MG Road,48.6,12.34,20.5,429.0
2025-12-07 07:02:21.940649,MG Road,76.7,14.28,24.88,432.1
2025-12-07 08:02:21.940649,MG Road,84.8,21.62,38.21,451.0
2025-12-07 09:02:21.940649,MG Road,85.2,19.69,34.13,443.4
2025-12-07 10:02:21.940649,MG Road,74.8,17.52,31.06,429.5
2025-12-07 11:02:21.940649,MG Road,68.6,14.55,24.55,429.3
2025-12-07 12:02:21.940649,MG Road,68.8,19.76,30.64,444.8
2025-12-07 13:02:21.940649,MG Road,59.1,15.3,26.37,424.0
2025-12-07 14:02:21.940649,MG Road,66.5,15.74,33.42,447.9
2025-12-07 15:02:21.940649,MG Road,51.1,12.07,18.24,421.1
2025-12-07 16:02:21.940649,MG Road,52.8,11.52,20.27,427.8
2025-12-07 17:02:21.940649,MG Road,83.1,21.49,41.42,431.1
2025-12-07 18:02:21.940649,MG Road,80.9,18.84,35.93,467.8
2025-12-07 19:02:21.940649,MG Road,78.4,18.93,32.94,426.7
2025-12-07 20:02:21.940649,MG Road,78.8,17.02,29.61,439.7
2025-12-07 21:02:21.940649,MG Road,48.7,12.54,24.89,425.4
2025-12-07 22:02:21.940649,MG Road,49.6,8.86,11.45,427.1
2025-12-07 23:02:21.940649,MG Road,59.2,11.03,19.78,418.9
2025-12-08 00:02:21.940649,MG Road,77.5,19.07,37.75,415.7
2025-12-08 01:02:21.940649,MG Road,68.3,14.52,28.38,422.6
2025-12-08 02:02:21.940649,MG Road,57.8,15.11,32.19,425.9
2025-12-08 03:02:21.940649,MG Road,59.2,12.09,25.57,423.1
2025-12-08 04:02:21.940649,MG Road,59.6,10.89,23.56,422.4
2025-12-08 05:02:21.940649,MG Road,68.6,14.24,26.11,432.2
2025-12-08 06:02:21.940649,MG Road,64.0,14.92,28.58,446.0
2025-12-08 07:02:21.940649,MG Road,69.3,10.64,20.73,443.0
2025-12-08 08:02:21.940649,MG Road,84.2,22.8,43.73,440.5
2025-12-08 09:02:21.940649,MG Road,76.2,19.19,31.4,454.2
2025-12-08 10:02:21.940649,MG Road,69.7,20.96,39.29,444.0
2025-12-08 11:02:21.940649,MG Road,56.0,15.63,31.02,447.5
2025-12-08 12:02:21.940649,MG Road,51.0,9.83,24.38,422.6
2025-12-08 13:02:21.940649,MG Road,51.4,12.53,21.42,428.5
2025-12-08 14:02:21.940649,MG Road,65.1,16.18,31.26,441.7
2025-12-08 15:02:21.940649,MG Road,66.4,17.76,33.93,460.2
2025-12-08 16:02:21.940649,MG Road,65.7,17.81,32.95,438.1
2025-12-08 17:02:21.940649,MG Road,69.7,15.67,24.92,416.1
2025-12-08 18:02:21.940649,MG Road,88.7,21.19,43.35,451.5
2025-12-08 19:02:21.940649,MG Road,63.8,15.4,31.99,403.7
2025-12-08 20:02:21.940649,MG Road,65.4,15.56,31.52,451.1
2025-12-08 21:02:21.940649,MG Road,67.4,15.62,28.99,438.4
2025-12-08 22:02:21.940649,MG Road,78.4,19.58,36.04,467.8
2025-12-08 23:02:21.940649,MG Road,63.4,16.53,29.01,431.1
2025-12-09 00:02:21.940649,MG Road,52.2,11.51,23.75,427.3
2025-12-09 01:02:21.940649,MG Road,63.3,16.3,32.45,431.7
2025-12-09 02:02:21.940649,MG Road,61.7,11.24,24.28,441.1
2025-12-09 03:02:21.940649,MG Road,51.7,10.64,20.03,427.9
2025-12-09 04:02:21.940649,MG Road,47.5,8.83,13.92,408.9
2025-12-09 05:02:21.940649,MG Road,65.3,18.18,32.29,399.5
2025-12-09 06:02:21.940649,MG Road,49.5,13.13,22.79,420.5
2025-12-09 07:02:21.940649,MG Road,87.0,19.44,33.3,460.6
2025-12-09 08:02:21.940649,MG Road,83.2,20.11,40.67,423.5
2025-12-09 09:02:21.940649,MG Road,67.1,17.01,28.1,411.6
2025-12-09 10:02:21.940649,MG Road,58.8,13.67,25.87,413.7
2025-12-09 11:02:21.940649,MG Road,54.0,13.55,24.33,432.2
2025-12-09 12:02:21.940649,MG Road,68.0,14.57,30.83,464.5
2025-12-09 13:02:21.940649,MG Road,47.5,9.91,18.49,455.4
2025-12-09 14:02:21.940649,MG Road,60.9,10.23,16.32,445.8
2025-12-09 15:02:21.940649,MG Road,63.4,11.18,24.23,421.0
2025-12-09 16:02:21.940649,MG Road,68.9,15.75,28.21,459.9
2025-12-09 17:02:21.940649,MG Road,76.5,19.87,32.84,434.8
2025-12-09 18:02:21.940649,MG Road,74.0,17.81,32.61,445.1
2025-12-09 19:02:21.940649,MG Road,69.4,15.81,30.31,441.3
2025-12-09 20:02:21.940649,MG Road,55.0,10.25,16.96,442.7
2025-12-09 21:02:21.940649,MG Road,52.0,12.67,24.69,419.8
2025-12-09 22:02:21.940649,MG Road,66.9,19.27,42.89,426.0
2025-12-09 23:02:21.940649,MG Road,63.6,15.61,29.17,438.2
2025-12-10 00:02:21.940649,MG Road,58.8,13.77,27.84,442.4
2025-12-10 01:02:21.940649,MG Road,52.3,14.12,25.89,418.6
2025-12-10 02:02:21.940649,MG Road,57.8,14.01,20.33,432.2
2025-12-10 03:02:21.940649,MG Road,52.1,10.41,21.06,412.8
2025-12-10 04:02:21.940649,MG Road,64.9,17.59,34.47,456.9
2025-12-10 05:02:21.940649,MG Road,60.9,15.42,26.16,431.3
2025-12-10 06:02:21.940649,MG Road,74.7,21.32,46.07,468.1
2025-12-10 07:02:21.940649,MG Road,75.5,18.52,35.38,424.0
2025-12-10 08:02:21.940649,MG Road,78.6,20.1,38.64,440.5
2025-12-10 09:02:21.940649,MG Road,75.1,15.0,26.67,422.8
2025-12-10 10:02:21.940649,MG Road,63.8,15.1,24.97,414.3
2025-12-10 11:02:21.940649,MG Road,61.6,11.48,23.72,427.1
2025-12-10 12:02:21.940649,MG Road,56.4,11.48,19.45,444.2
2025-12-10 13:02:21.940649,MG Road,52.5,13.24,27.81,426.6
2025-12-10 14:02:21.940649,MG Road,64.0,15.46,26.08,390.1
2025-12-10 15:02:21.940649,MG Road,63.9,14.89,30.08,430.0
2025-12-10 16:02:21.940649,MG Road,58.9,13.28,22.22,427.9
2025-12-10 17:02:21.940649,MG Road,71.7,15.05,25.79,443.5
