timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-06 21:02:21.940649,MG Road,366.13,2.25,47.9
2025-12-06 22:02:21.940649,MG Road,386.4,0.78,50.7
2025-12-06 23:02:21.940649,MG Road,383.4,0.23,50.4
2025-12-07 00:02:21.940649,MG Road,379.82,0.0,50.0
2025-12-07 01:02:21.940649,MG Road,398.32,0.01,52.4
2025-12-07 02:02:21.940649,MG Road,386.07,0.07,50.8
2025-12-07 03:02:21.940649,MG Road,355.1,0.21,46.7
2025-12-07 04:02:21.940649,MG Road,405.73,0.76,53.3
2025-12-07 05:02:21.940649,MG Road,397.63,2.19,52.0
2025-12-07 06:02:21.940649,MG Road,365.79,6.51,47.3
2025-12-07 07:02:21.940649,MG Road,347.61,14.83,43.8
2025-12-07 08:02:21.940649,MG Road,716.76,28.59,90.5
2025-12-07 09:02:21.940649,MG Road,771.28,52.19,94.6
2025-12-07 10:02:21.940649,MG Road,779.71,79.32,92.2
2025-12-07 11:02:21.940649,MG Road,655.68,80.58,75.7
2025-12-07 12:02:21.940649,MG Road,752.84,106.16,85.1
2025-12-07 13:02:21.940649,MG Road,800.57,155.7,84.9
2025-12-07 14:02:21.940649,MG Road,780.79,135.69,84.9
2025-12-07 15:02:21.940649,MG Road,771.87,115.26,86.4
2025-12-07 16:02:21.940649,MG Road,780.2,77.99,92.4
2025-12-07 17:02:21.940649,MG Road,731.84,47.47,90.0
2025-12-07 18:02:21.940649,MG Road,770.71,30.2,97.4
2025-12-07 19:02:21.940649,MG Road,392.36,14.66,49.7
2025-12-07 20:02:21.940649,MG Road,385.56,6.23,49.9
2025-12-07 21:02:21.940649,MG Road,353.11,2.47,46.1
2025-12-07 22:02:21.940649,MG Road,337.13,0.83,44.2
2025-12-07 23:02:21.940649,MG Road,398.26,0.29,52.4
2025-12-08 00:02:21.940649,MG Road,365.3,0.0,48.1
2025-12-08 01:02:21.940649,MG Road,327.43,0.02,43.1
2025-12-08 02:02:21.940649,MG Road,353.51,0.08,46.5
2025-12-08 03:02:21.940649,MG Road,354.24,0.3,46.6
2025-12-08 04:02:21.940649,MG Road,374.52,1.0,49.1
2025-12-08 05:02:21.940649,MG Road,388.8,3.7,50.7
2025-12-08 06:02:21.940649,MG Road,358.98,9.56,46.0
2025-12-08 07:02:21.940649,MG Road,386.82,20.94,48.1
2025-12-08 08:02:21.940649,MG Road,770.87,36.83,96.6
2025-12-08 09:02:21.940649,MG Road,759.88,83.46,89.0
2025-12-08 10:02:21.940649,MG Road,731.8,102.96,82.7
2025-12-08 11:02:21.940649,MG Road,707.4,148.21,73.6
2025-12-08 12:02:21.940649,MG Road,716.85,189.76,69.4
2025-12-08 13:02:21.940649,MG Road,739.47,180.3,73.6
2025-12-08 14:02:21.940649,MG Road,734.1,207.73,69.3
2025-12-08 15:02:21.940649,MG Road,778.86,134.12,84.8
2025-12-08 16:02:21.940649,MG Road,726.33,95.4,83.0
2025-12-08 17:02:21.940649,MG Road,760.86,71.36,90.7
2025-12-08 18:02:21.940649,MG Road,705.87,39.05,87.7
2025-12-08 19:02:21.940649,MG Road,403.75,19.2,50.6
2025-12-08 20:02:21.940649,MG Road,407.87,8.52,52.5
2025-12-08 21:02:21.940649,MG Road,385.82,3.21,50.3
2025-12-08 22:02:21.940649,MG Road,418.39,1.06,54.9
2025-12-08 23:02:21.940649,MG Road,401.35,0.32,52.8
2025-12-09 00:02:21.940649,MG Road,400.62,0.0,52.7
2025-12-09 01:02:21.940649,MG Road,378.51,0.02,49.8
2025-12-09 02:02:21.940649,MG Road,381.87,0.07,50.2
2025-12-09 03:02:21.940649,MG Road,387.26,0.29,50.9
2025-12-09 04:02:21.940649,MG Road,418.22,0.99,54.9
2025-12-09 05:02:21.940649,MG Road,363.67,3.79,47.4
2025-12-09 06:02:21.940649,MG Road,377.95,8.4,48.6
2025-12-09 07:02:21.940649,MG Road,385.57,23.13,47.7
2025-12-09 08:02:21.940649,MG Road,739.82,37.78,92.4
2025-12-09 09:02:21.940649,MG Road,744.62,73.28,88.3
2025-12-09 10:02:21.940649,MG Road,858.68,99.39,99.9
2025-12-09 11:02:21.940649,MG Road,781.97,155.21,82.5
2025-12-09 12:02:21.940649,MG Road,717.67,197.61,68.4
2025-12-09 13:02:21.940649,MG Road,722.45,177.55,71.7
2025-12-09 14:02:21.940649,MG Road,688.19,194.51,65.0
2025-12-09 15:02:21.940649,MG Road,728.31,131.37,78.5
2025-12-09 16:02:21.940649,MG Road,745.39,113.09,83.2
2025-12-09 17:02:21.940649,MG Road,731.28,69.29,87.1
2025-12-09 18:02:21.940649,MG Road,792.66,47.25,98.1
2025-12-09 19:02:21.940649,MG Road,361.64,19.52,45.0
2025-12-09 20:02:21.940649,MG Road,399.15,8.25,51.4
2025-12-09 21:02:21.940649,MG Road,373.25,3.19,48.7
2025-12-09 22:02:21.940649,MG Road,396.71,0.9,52.1
2025-12-09 23:02:21.940649,MG Road,387.82,0.39,51.0
2025-12-10 00:02:21.940649,MG Road,360.44,0.0,47.4
2025-12-10 01:02:21.940649,MG Road,398.8,0.02,52.5
2025-12-10 02:02:21.940649,MG Road,398.27,0.08,52.4
2025-12-10 03:02:21.940649,MG Road,370.14,0.29,48.7
2025-12-10 04:02:21.940649,MG Road,395.33,0.96,51.9
2025-12-10 05:02:21.940649,MG Road,379.1,3.03,49.5
2025-12-10 06:02:21.940649,MG Road,387.97,8.05,50.0
2025-12-10 07:02:21.940649,MG Road,382.13,19.37,47.7
2025-12-10 08:02:21.940649,MG Road,765.21,38.23,95.7
2025-12-10 09:02:21.940649,MG Road,798.92,70.26,95.9
2025-12-10 10:02:21.940649,MG Road,766.55,105.73,86.9
2025-12-10 11:02:21.940649,MG Road,819.3,132.65,90.3
2025-12-10 12:02:21.940649,MG Road,787.28,203.12,76.9
2025-12-10 13:02:21.940649,MG Road,795.08,169.94,82.3
2025-12-10 14:02:21.940649,MG Road,734.53,146.95,77.3
2025-12-10 15:02:21.940649,MG Road,812.3,145.49,87.7
2025-12-10 16:02:21.940649,MG Road,792.67,85.63,93.0
2025-12-10 17:02:21.940649,MG Road,763.58,76.18,90.4
2025-12-10 18:02:21.940649,MG Road,766.53,40.29,95.6
2025-12-10 19:02:21.940649,MG Road,397.92,16.98,50.1
2025-12-10 20:02:21.940649,MG Road,386.15,8.43,49.7
2025-12-10 21:02:21.940649,MG Road,394.07,3.54,51.4
2025-12-10 22:02:21.940649,MG Road,388.7,1.04,51.0
2025-12-10 23:02:21.940649,MG Road,381.77,0.33,50.2
2025-12-11 00:02:21.940649,MG Road,357.07,0.0,47.0
2025-12-11 01:02:21.940649,MG Road,383.93,0.02,50.5
2025-12-11 02:02:21.940649,MG Road,357.85,0.08,47.1
2025-12-11 03:02:21.940649,MG Road,391.44,0.29,51.5
2025-12-11 04:02:21.940649,MG Road,383.38,0.92,50.3
2025-12-11 05:02:21.940649,MG Road,413.55,3.15,54.0
2025-12-11 06:02:21.940649,MG Road,348.85,8.05,44.8
2025-12-11 07:02:21.940649,MG Road,336.32,17.56,41.9
2025-12-11 08:02:21.940649,MG Road,765.95,36.71,96.0
2025-12-11 09:02:21.940649,MG Road,861.86,71.67,104.0
2025-12-11 10:02:21.940649,MG Road,703.08,89.48,80.7
2025-12-11 11:02:21.940649,MG Road,764.96,163.61,79.1
2025-12-11 12:02:21.940649,MG Road,791.25,175.06,81.1
2025-12-11 13:02:21.940649,MG Road,680.39,180.69,65.8
2025-12-11 14:02:21.940649,MG Road,734.59,176.26,73.5
2025-12-11 15:02:21.940649,MG Road,678.51,110.98,74.7
2025-12-11 16:02:21.940649,MG Road,736.0,103.83,83.2
2025-12-11 17:02:21.940649,MG Road,733.15,68.65,87.4
2025-12-11 18:02:21.940649,MG Road,754.23,39.27,94.1
2025-12-11 19:02:21.940649,MG Road,374.42,20.04,46.6
2025-12-11 20:02:21.940649,MG Road,410.12,7.32,53.0
2025-12-11 21:02:21.940649,MG Road,369.29,3.18,48.2
2025-12-11 22:02:21.940649,MG Road,348.68,1.18,45.7
2025-12-11 23:02:21.940649,MG Road,374.83,0.32,49.3
2025-12-12 00:02:21.940649,MG Road,387.89,0.0,51.0
2025-12-12 01:02:21.940649,MG Road,397.71,0.02,52.3
2025-12-12 02:02:21.940649,MG Road,384.23,0.09,50.5
2025-12-12 03:02:21.940649,MG Road,337.69,0.31,44.4
2025-12-12 04:02:21.940649,MG Road,393.58,1.06,51.6
2025-12-12 05:02:21.940649,MG Road,386.42,3.2,50.4
2025-12-12 06:02:21.940649,MG Road,368.75,8.82,47.4
2025-12-12 07:02:21.940649,MG Road,380.44,19.25,47.5
2025-12-12 08:02:21.940649,MG Road,745.2,38.96,92.9
2025-12-12 09:02:21.940649,MG Road,767.66,66.67,92.2
2025-12-12 10:02:21.940649,MG Road,790.31,108.95,89.7
2025-12-12 11:02:21.940649,MG Road,732.18,176.17,73.2
2025-12-12 12:02:21.940649,MG Road,787.22,112.67,88.8
2025-12-12 13:02:21.940649,MG Road,780.55,217.14,74.1
2025-12-12 14:02:21.940649,MG Road,683.07,181.01,66.1
2025-12-12 15:02:21.940649,MG Road,704.73,161.62,71.5
2025-12-12 16:02:21.940649,MG Road,714.19,90.21,82.1
2025-12-12 17:02:21.940649,MG Road,778.65,62.79,94.2
2025-12-12 18:02:21.940649,MG Road,781.39,41.6,97.3
2025-12-12 19:02:21.940649,MG Road,354.02,16.84,44.4
2025-12-12 20:02:21.940649,MG Road,361.33,8.62,46.4
2025-12-12 21:02:21.940649,MG Road,375.02,3.26,48.9
2025-12-12 22:02:21.940649,MG Road,364.59,1.06,47.8
2025-12-12 23:02:21.940649,MG Road,412.95,0.31,54.3
2025-12-13 00:02:21.940649,MG Road,363.64,0.0,47.8
2025-12-13 01:02:21.940649,MG Road,418.92,0.01,55.1
2025-12-13 02:02:21.940649,MG Road,411.15,0.06,54.1
2025-12-13 03:02:21.940649,MG Road,383.77,0.22,50.5
2025-12-13 04:02:21.940649,MG Road,395.23,0.77,51.9
2025-12-13 05:02:21.940649,MG Road,389.04,2.49,50.9
2025-12-13 06:02:21.940649,MG Road,364.85,5.76,47.2
2025-12-13 07:02:21.940649,MG Road,430.88,15.44,54.7
2025-12-13 08:02:21.940649,MG Road,806.21,25.87,102.7
2025-12-13 09:02:21.940649,MG Road,816.89,47.33,101.3
2025-12-13 10:02:21.940649,MG Road,699.39,85.52,80.8
2025-12-13 11:02:21.940649,MG Road,766.12,112.02,86.1
2025-12-13 12:02:21.940649,MG Road,784.83,129.94,86.2
2025-12-13 13:02:21.940649,MG Road,739.52,138.7,79.1
2025-12-13 14:02:21.940649,MG Road,779.34,135.99,84.7
2025-12-13 15:02:21.940649,MG Road,732.32,121.01,80.4
2025-12-13 16:02:21.940649,MG Road,793.14,81.95,93.6
2025-12-13 17:02:21.940649,MG Road,708.31,52.99,86.2
2025-12-13 18:02:21.940649,MG Road,776.61,30.47,98.2
2025-12-13 19:02:21.940649,MG Road,392.08,12.15,50.0
2025-12-13 20:02:21.940649,MG Road,374.85,5.73,48.6
2025-12-13 21:02:21.940649,MG Road,390.5,2.51,51.1
2025-12-13 22:02:21.940649,MG Road,400.81,0.91,52.6
2025-12-13 23:02:21.940649,MG Road,384.79,0.21,50.6
2025-12-14 00:02:21.940649,MG Road,401.23,0.0,52.8
2025-12-14 01:02:21.940649,MG Road,391.86,0.01,51.6
2025-12-14 02:02:21.940649,MG Road,396.53,0.06,52.2
2025-12-14 03:02:21.940649,MG Road,351.11,0.22,46.2
2025-12-14 04:02:21.940649,MG Road,370.54,0.81,48.6
2025-12-14 05:02:21.940649,MG Road,401.78,2.2,52.6
2025-12-14 06:02:21.940649,MG Road,341.69,5.71,44.2
2025-12-14 07:02:21.940649,MG Road,352.14,13.13,44.6
2025-12-14 08:02:21.940649,MG Road,708.99,27.98,89.6
2025-12-14 09:02:21.940649,MG Road,819.44,54.73,100.6
2025-12-14 10:02:21.940649,MG Road,708.46,77.69,83.0
2025-12-14 11:02:21.940649,MG Road,774.18,110.43,87.3
2025-12-14 12:02:21.940649,MG Road,823.66,138.24,90.2
2025-12-14 13:02:21.940649,MG Road,734.79,135.06,78.9
2025-12-14 14:02:21.940649,MG Road,733.15,128.45,79.6
2025-12-14 15:02:21.940649,MG Road,711.11,125.09,77.1
2025-12-14 16:02:21.940649,MG Road,774.96,84.18,90.9
2025-12-14 17:02:21.940649,MG Road,775.48,51.44,95.3
2025-12-14 18:02:21.940649,MG Road,732.22,24.89,93.1
2025-12-14 19:02:21.940649,MG Road,367.02,14.17,46.4
2025-12-14 20:02:21.940649,MG Road,362.52,6.74,46.8
2025-12-14 21:02:21.940649,MG Road,363.05,2.16,47.5
2025-12-14 22:02:21.940649,MG Road,396.93,0.68,52.1
2025-12-14 23:02:21.940649,MG Road,375.67,0.23,49.4
2025-12-15 00:02:21.940649,MG Road,399.02,0.0,52.5
2025-12-15 01:02:21.940649,MG Road,370.11,0.02,48.7
2025-12-15 02:02:21.940649,MG Road,378.03,0.09,49.7
2025-12-15 03:02:21.940649,MG Road,400.89,0.34,52.7
2025-12-15 04:02:21.940649,MG Road,388.74,1.22,51.0
2025-12-15 05:02:21.940649,MG Road,372.31,3.35,48.5
2025-12-15 06:02:21.940649,MG Road,390.79,8.07,50.4
2025-12-15 07:02:21.940649,MG Road,413.17,17.39,52.1
2025-12-15 08:02:21.940649,MG Road,700.27,45.7,86.1
2025-12-15 09:02:21.940649,MG Road,786.41,60.18,95.6
2025-12-15 10:02:21.940649,MG Road,791.38,96.41,91.4
2025-12-15 11:02:21.940649,MG Road,748.3,134.21,80.8
2025-12-15 12:02:21.940649,MG Road,692.15,186.66,66.5
2025-12-15 13:02:21.940649,MG Road,761.71,174.51,77.3
2025-12-15 14:02:21.940649,MG Road,657.31,200.65,60.1
2025-12-15 15:02:21.940649,MG Road,772.51,155.98,81.1
2025-12-15 16:02:21.940649,MG Road,712.65,88.93,82.1
2025-12-15 17:02:21.940649,MG Road,780.19,80.76,92.0
2025-12-15 18:02:21.940649,MG Road,726.85,39.72,90.4
2025-12-15 19:02:21.940649,MG Road,398.77,15.85,50.4
2025-12-15 20:02:21.940649,MG Road,406.6,7.67,52.5
2025-12-15 21:02:21.940649,MG Road,385.28,3.94,50.2
2025-12-15 22:02:21.940649,MG Road,382.98,1.0,50.3
2025-12-15 23:02:21.940649,MG Road,380.69,0.28,50.1
2025-12-16 00:02:21.940649,MG Road,369.74,0.0,48.6
2025-12-16 01:02:21.940649,MG Road,403.66,0.02,53.1
2025-12-16 02:02:21.940649,MG Road,329.02,0.09,43.3
2025-12-16 03:02:21.940649,MG Road,368.49,0.32,48.4
2025-12-16 04:02:21.940649,MG Road,351.91,1.05,46.2
2025-12-16 05:02:21.940649,MG Road,360.42,2.97,47.0
2025-12-16 06:02:21.940649,MG Road,349.17,9.32,44.7
2025-12-16 07:02:21.940649,MG Road,396.27,19.88,49.5
2025-12-16 08:02:21.940649,MG Road,752.73,41.44,93.6
2025-12-16 09:02:21.940649,MG Road,740.29,71.31,88.0
2025-12-16 10:02:21.940649,MG Road,803.2,105.55,91.8
2025-12-16 11:02:21.940649,MG Road,713.85,152.02,73.9
2025-12-16 12:02:21.940649,MG Road,699.41,176.7,68.8
2025-12-16 13:02:21.940649,MG Road,764.2,170.52,78.1
2025-12-16 14:02:21.940649,MG Road,818.41,142.07,89.0
2025-12-16 15:02:21.940649,MG Road,683.56,160.0,68.9
2025-12-16 16:02:21.940649,MG Road,718.64,104.64,80.8
2025-12-16 17:02:21.940649,MG Road,699.65,65.84,83.4
2025-12-16 18:02:21.940649,MG Road,750.85,40.88,93.4
2025-12-16 19:02:21.940649,MG Road,381.86,19.25,47.7
2025-12-16 20:02:21.940649,MG Road,396.41,8.07,51.1
2025-12-16 21:02:21.940649,MG Road,402.61,3.59,52.5
2025-12-16 22:02:21.940649,MG Road,354.7,1.17,46.5
2025-12-16 23:02:21.940649,MG Road,446.26,0.31,58.7
2025-12-17 00:02:21.940649,MG Road,370.17,0.0,48.7
2025-12-17 01:02:21.940649,MG Road,404.56,0.02,53.2
2025-12-17 02:02:21.940649,MG Road,361.44,0.08,47.5
2025-12-17 03:02:21.940649,MG Road,348.41,0.31,45.8
2025-12-17 04:02:21.940649,MG Road,360.76,1.04,47.3
2025-12-17 05:02:21.940649,MG Road,429.83,2.67,56.2
2025-12-17 06:02:21.940649,MG Road,382.28,9.4,49.1
2025-12-17 07:02:21.940649,MG Road,406.03,23.01,50.4
2025-12-17 08:02:21.940649,MG Road,785.6,42.44,97.8
