timestamp,zone,vehicle_count,avg_speed_kmh,congestion_index,is_anomaly
2025-12-06 21:02:21.999833,MG Road,513.4,50.0,0.401,False
2025-12-06 22:02:21.999833,MG Road,521.3,44.4,0.407,False
2025-12-06 23:02:21.999833,MG Road,488.1,51.4,0.381,False
2025-12-07 00:02:21.999833,MG Road,547.2,57.9,0.427,False
2025-12-07 01:02:21.999833,MG Road,467.6,52.0,0.365,False
2025-12-07 02:02:21.999833,MG Road,531.3,50.6,0.415,False
2025-12-07 03:02:21.999833,MG Road,567.6,51.0,0.443,False
2025-12-07 04:02:21.999833,MG Road,635.2,43.2,0.496,False
2025-12-07 05:02:21.999833,MG Road,670.8,49.5,0.524,False
2025-12-07 06:02:21.999833,MG Road,461.3,54.8,0.36,False
2025-12-07 07:02:21.999833,MG Road,856.6,40.1,0.669,False
2025-12-07 08:02:21.999833,MG Road,895.7,46.6,0.7,False
2025-12-07 09:02:21.999833,MG Road,944.7,34.7,0.738,False
2025-12-07 10:02:21.999833,MG Road,637.2,51.7,0.498,False
2025-12-07 11:02:21.999833,MG Road,583.8,51.2,0.456,False
2025-12-07 12:02:21.999833,MG Road,550.1,49.9,0.43,False
2025-12-07 13:02:21.999833,MG Road,568.8,47.8,0.444,False
2025-12-07 14:02:21.999833,MG Road,495.6,53.4,0.387,False
2025-12-07 15:02:21.999833,MG Road,534.7,50.0,0.418,False
2025-12-07 16:02:21.999833,MG Road,568.2,52.1,0.444,False
2025-12-07 17:02:21.999833,MG Road,860.0,46.8,0.672,False
2025-12-07 18:02:21.999833,MG Road,844.1,41.4,0.659,False
2025-12-07 19:02:21.999833,MG Road,789.8,40.1,0.617,False
2025-12-07 20:02:21.999833,MG Road,515.7,50.7,0.403,False
2025-12-07 21:02:21.999833,MG Road,608.6,49.8,0.475,False
2025-12-07 22:02:21.999833,MG Road,592.9,47.0,0.463,False
2025-12-07 23:02:21.999833,MG Road,696.1,42.8,0.544,False
2025-12-08 00:02:21.999833,MG Road,911.8,38.7,0.712,False
2025-12-08 01:02:21.999833,MG Road,746.9,45.2,0.583,False
2025-12-08 02:02:21.999833,MG Road,889.2,40.4,0.695,False
2025-12-08 03:02:21.999833,MG Road,798.6,41.7,0.624,False
2025-12-08 04:02:21.999833,MG Road,846.9,41.4,0.662,False
2025-12-08 05:02:21.999833,MG Road,847.9,42.9,0.662,True
2025-12-08 06:02:21.999833,MG Road,792.3,43.2,0.619,False
2025-12-08 07:02:21.999833,MG Road,1346.0,25.8,1.0,False
2025-12-08 08:02:21.999833,MG Road,1245.6,33.8,0.973,False
2025-12-08 09:02:21.999833,MG Road,1367.7,28.3,1.0,False
2025-12-08 10:02:21.999833,MG Road,888.9,40.9,0.694,False
2025-12-08 11:02:21.999833,MG Road,819.0,44.7,0.64,False
2025-12-08 12:02:21.999833,MG Road,718.0,41.7,0.561,False
2025-12-08 13:02:21.999833,MG Road,794.7,47.7,0.621,False
2025-12-08 14:02:21.999833,MG Road,779.7,41.6,0.609,False
2025-12-08 15:02:21.999833,MG Road,866.1,46.5,0.677,False
2025-12-08 16:02:21.999833,MG Road,816.1,47.8,0.638,True
2025-12-08 17:02:21.999833,MG Road,1268.5,32.4,0.991,False
2025-12-08 18:02:21.999833,MG Road,1203.5,30.2,0.94,False
2025-12-08 19:02:21.999833,MG Road,1267.8,27.9,0.99,False
2025-12-08 20:02:21.999833,MG Road,797.8,42.2,0.623,False
2025-12-08 21:02:21.999833,MG Road,908.2,40.1,0.71,False
2025-12-08 22:02:21.999833,MG Road,899.4,44.5,0.703,False
2025-12-08 23:02:21.999833,MG Road,753.5,46.5,0.589,False
2025-12-09 00:02:21.999833,MG Road,696.0,49.5,0.544,False
2025-12-09 01:02:21.999833,MG Road,815.8,42.5,0.637,False
2025-12-09 02:02:21.999833,MG Road,790.2,39.3,0.617,False
2025-12-09 03:02:21.999833,MG Road,678.2,43.0,0.53,False
