timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-06 21:02:21.996884,MG Road,728.7,4.66,0.03
2025-12-06 22:02:21.996884,MG Road,513.8,4.6,0.611
2025-12-06 23:02:21.996884,MG Road,430.6,4.55,0.03
2025-12-07 00:02:21.996884,MG Road,520.9,4.48,0.129
2025-12-07 01:02:21.996884,MG Road,480.8,4.41,0.245
2025-12-07 02:02:21.996884,MG Road,527.7,5.01,0.245
2025-12-07 03:02:21.996884,MG Road,482.6,4.7,0.267
2025-12-07 04:02:21.996884,MG Road,615.4,4.33,0.089
2025-12-07 05:02:21.996884,MG Road,556.4,4.45,0.064
2025-12-07 06:02:21.996884,MG Road,672.9,4.42,0.23
2025-12-07 07:02:21.996884,MG Road,617.8,4.87,0.269
2025-12-07 08:02:21.996884,MG Road,628.8,4.2,0.206
2025-12-07 09:02:21.996884,MG Road,705.8,4.84,0.104
2025-12-07 10:02:21.996884,MG Road,489.8,4.12,0.105
2025-12-07 11:02:21.996884,MG Road,538.5,4.53,0.088
2025-12-07 12:02:21.996884,MG Road,522.9,4.39,0.097
2025-12-07 13:02:21.996884,MG Road,514.8,4.26,0.324
2025-12-07 14:02:21.996884,MG Road,481.0,4.88,0.023
2025-12-07 15:02:21.996884,MG Road,485.3,4.71,0.07
2025-12-07 16:02:21.996884,MG Road,500.0,4.24,0.062
2025-12-07 17:02:21.996884,MG Road,484.8,4.31,0.043
2025-12-07 18:02:21.996884,MG Road,550.1,4.1,0.338
2025-12-07 19:02:21.996884,MG Road,562.6,4.78,0.067
2025-12-07 20:02:21.996884,MG Road,667.6,4.32,0.368
2025-12-07 21:02:21.996884,MG Road,596.1,4.33,0.088
2025-12-07 22:02:21.996884,MG Road,471.6,5.02,0.089
2025-12-07 23:02:21.996884,MG Road,493.0,4.57,0.129
2025-12-08 00:02:21.996884,MG Road,528.8,4.34,0.259
2025-12-08 01:02:21.996884,MG Road,466.3,4.54,0.083
2025-12-08 02:02:21.996884,MG Road,528.9,4.71,0.186
2025-12-08 03:02:21.996884,MG Road,480.0,4.5,0.075
2025-12-08 04:02:21.996884,MG Road,545.7,4.1,0.178
2025-12-08 05:02:21.996884,MG Road,477.4,4.78,0.101
2025-12-08 06:02:21.996884,MG Road,699.0,4.32,0.001
2025-12-08 07:02:21.996884,MG Road,748.5,4.97,0.24
2025-12-08 08:02:21.996884,MG Road,646.9,4.53,0.023
2025-12-08 09:02:21.996884,MG Road,682.4,4.79,0.122
