timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-07 11:39:46.877834,Connaught Place,79.8,21.86,38.11,453.8
2025-12-07 12:39:46.877834,Connaught Place,102.5,22.52,38.5,458.7
2025-12-07 13:39:46.877834,Connaught Place,83.3,20.11,38.4,453.9
2025-12-07 14:39:46.877834,Connaught Place,74.5,17.47,31.32,441.7
2025-12-07 15:39:46.877834,Connaught Place,83.5,22.39,44.16,407.2
2025-12-07 16:39:46.877834,Connaught Place,86.6,23.3,36.19,451.7
2025-12-07 17:39:46.877834,Connaught Place,106.5,27.32,54.23,461.5
2025-12-07 18:39:46.877834,Connaught Place,94.4,22.19,41.57,436.7
2025-12-07 19:39:46.877834,Connaught Place,108.5,23.95,45.67,463.3
2025-12-07 20:39:46.877834,Connaught Place,77.2,18.71,34.02,440.8
2025-12-07 21:39:46.877834,Connaught Place,88.3,15.75,29.91,439.3
2025-12-07 22:39:46.877834,Connaught Place,93.0,24.18,46.98,480.3
2025-12-07 23:39:46.877834,Connaught Place,72.5,17.9,35.56,463.8
2025-12-08 00:39:46.877834,Connaught Place,84.6,21.23,32.1,457.7
2025-12-08 01:39:46.877834,Connaught Place,94.7,27.06,54.63,442.6
2025-12-08 02:39:46.877834,Connaught Place,74.8,18.0,37.16,445.5
2025-12-08 03:39:46.877834,Connaught Place,86.3,18.35,36.8,450.0
2025-12-08 04:39:46.877834,Connaught Place,85.2,19.48,37.74,461.7
2025-12-08 05:39:46.877834,Connaught Place,93.1,22.26,40.33,454.1
2025-12-08 06:39:46.877834,Connaught Place,86.9,20.07,35.76,453.1
2025-12-08 07:39:46.877834,Connaught Place,109.6,23.82,41.73,444.5
2025-12-08 08:39:46.877834,Connaught Place,101.0,26.64,52.56,450.2
2025-12-08 09:39:46.877834,Connaught Place,86.4,24.44,50.92,458.4
2025-12-08 10:39:46.877834,Connaught Place,93.9,21.45,36.43,407.4
2025-12-08 11:39:46.877834,Connaught Place,92.5,21.36,39.21,436.5
2025-12-08 12:39:46.877834,Connaught Place,83.0,18.14,36.33,440.6
2025-12-08 13:39:46.877834,Connaught Place,90.0,18.32,35.02,456.0
2025-12-08 14:39:46.877834,Connaught Place,77.3,21.57,41.28,462.0
2025-12-08 15:39:46.877834,Connaught Place,83.2,19.14,30.62,427.5
2025-12-08 16:39:46.877834,Connaught Place,86.4,20.4,35.07,449.9
2025-12-08 17:39:46.877834,Connaught Place,105.8,28.08,52.62,499.6
2025-12-08 18:39:46.877834,Connaught Place,101.4,23.8,35.72,465.1
2025-12-08 19:39:46.877834,Connaught Place,94.6,22.94,46.32,442.9
2025-12-08 20:39:46.877834,Connaught Place,89.2,16.75,31.26,430.9
2025-12-08 21:39:46.877834,Connaught Place,74.4,20.88,34.24,446.0
2025-12-08 22:39:46.877834,Connaught Place,104.3,22.32,36.95,456.9
2025-12-08 23:39:46.877834,Connaught Place,101.9,19.74,36.92,434.3
2025-12-09 00:39:46.877834,Connaught Place,76.4,17.69,33.4,439.4
2025-12-09 01:39:46.877834,Connaught Place,100.6,20.42,41.27,471.1
2025-12-09 02:39:46.877834,Connaught Place,96.9,25.51,44.88,437.6
2025-12-09 03:39:46.877834,Connaught Place,92.1,20.54,36.42,455.7
2025-12-09 04:39:46.877834,Connaught Place,67.0,16.03,30.68,452.2
