timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-07 11:39:46.877834,Connaught Place,1097.6,122.53,97.5
2025-12-07 12:39:46.877834,Connaught Place,1064.49,159.14,90.5
2025-12-07 13:39:46.877834,Connaught Place,990.06,208.8,78.1
2025-12-07 14:39:46.877834,Connaught Place,920.45,157.33,76.3
2025-12-07 15:39:46.877834,Connaught Place,1025.58,134.78,89.1
2025-12-07 16:39:46.877834,Connaught Place,961.94,88.74,87.3
2025-12-07 17:39:46.877834,Connaught Place,962.9,63.68,89.9
2025-12-07 18:39:46.877834,Connaught Place,974.48,37.38,93.7
2025-12-07 19:39:46.877834,Connaught Place,492.15,15.72,47.6
2025-12-07 20:39:46.877834,Connaught Place,489.02,8.01,48.1
2025-12-07 21:39:46.877834,Connaught Place,434.98,3.04,43.2
2025-12-07 22:39:46.877834,Connaught Place,520.85,1.01,52.0
2025-12-07 23:39:46.877834,Connaught Place,580.63,0.27,58.0
2025-12-08 00:39:46.877834,Connaught Place,560.7,0.01,56.1
2025-12-08 01:39:46.877834,Connaught Place,513.18,0.02,51.3
2025-12-08 02:39:46.877834,Connaught Place,460.79,0.11,46.1
2025-12-08 03:39:46.877834,Connaught Place,480.29,0.4,48.0
2025-12-08 04:39:46.877834,Connaught Place,500.4,1.22,49.9
2025-12-08 05:39:46.877834,Connaught Place,487.09,3.88,48.3
2025-12-08 06:39:46.877834,Connaught Place,511.11,7.06,50.4
2025-12-08 07:39:46.877834,Connaught Place,459.42,21.31,43.8
2025-12-08 08:39:46.877834,Connaught Place,881.89,54.85,82.7
2025-12-08 09:39:46.877834,Connaught Place,1042.41,84.53,95.8
2025-12-08 10:39:46.877834,Connaught Place,977.92,161.28,81.7
2025-12-08 11:39:46.877834,Connaught Place,1078.14,160.88,91.7
2025-12-08 12:39:46.877834,Connaught Place,990.44,255.76,73.5
2025-12-08 13:39:46.877834,Connaught Place,1033.05,228.29,80.5
2025-12-08 14:39:46.877834,Connaught Place,889.54,242.57,64.7
2025-12-08 15:39:46.877834,Connaught Place,1043.46,163.12,88.0
2025-12-08 16:39:46.877834,Connaught Place,1017.0,129.07,88.8
2025-12-08 17:39:46.877834,Connaught Place,1001.6,55.74,94.6
2025-12-08 18:39:46.877834,Connaught Place,870.74,43.82,82.7
2025-12-08 19:39:46.877834,Connaught Place,495.29,29.59,46.6
2025-12-08 20:39:46.877834,Connaught Place,429.28,10.43,41.9
2025-12-08 21:39:46.877834,Connaught Place,513.31,4.03,50.9
2025-12-08 22:39:46.877834,Connaught Place,465.72,1.1,46.5
2025-12-08 23:39:46.877834,Connaught Place,469.4,0.42,46.9
2025-12-09 00:39:46.877834,Connaught Place,500.26,0.0,50.0
2025-12-09 01:39:46.877834,Connaught Place,521.84,0.03,52.2
2025-12-09 02:39:46.877834,Connaught Place,499.29,0.1,49.9
2025-12-09 03:39:46.877834,Connaught Place,443.89,0.38,44.4
2025-12-09 04:39:46.877834,Connaught Place,485.04,1.53,48.4
2025-12-09 05:39:46.877834,Connaught Place,553.9,4.54,54.9
2025-12-09 06:39:46.877834,Connaught Place,477.96,11.31,46.7
