timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-07 11:39:46.877834,Connaught Place,537.7,4.08,0.275
2025-12-07 12:39:46.877834,Connaught Place,521.5,4.65,0.172
2025-12-07 13:39:46.877834,Connaught Place,488.3,4.56,0.161
2025-12-07 14:39:46.877834,Connaught Place,536.0,4.28,0.042
2025-12-07 15:39:46.877834,Connaught Place,526.3,4.75,0.085
2025-12-07 16:39:46.877834,Connaught Place,528.5,4.84,0.293
2025-12-07 17:39:46.877834,Connaught Place,498.7,4.25,0.191
2025-12-07 18:39:46.877834,Connaught Place,618.3,4.43,0.023
2025-12-07 19:39:46.877834,Connaught Place,612.2,5.14,0.039
2025-12-07 20:39:46.877834,Connaught Place,708.3,4.38,0.303
2025-12-07 21:39:46.877834,Connaught Place,686.4,4.07,0.079
2025-12-07 22:39:46.877834,Connaught Place,486.9,4.5,0.145
2025-12-07 23:39:46.877834,Connaught Place,569.2,4.43,0.246
2025-12-08 00:39:46.877834,Connaught Place,481.0,4.55,0.202
2025-12-08 01:39:46.877834,Connaught Place,507.0,4.0,0.081
2025-12-08 02:39:46.877834,Connaught Place,514.5,3.86,0.417
2025-12-08 03:39:46.877834,Connaught Place,504.7,4.34,0.152
2025-12-08 04:39:46.877834,Connaught Place,453.0,4.49,0.203
2025-12-08 05:39:46.877834,Connaught Place,562.3,4.73,0.098
2025-12-08 06:39:46.877834,Connaught Place,755.5,4.67,0.037
2025-12-08 07:39:46.877834,Connaught Place,722.5,5.32,0.038
2025-12-08 08:39:46.877834,Connaught Place,709.8,4.32,0.084
2025-12-08 09:39:46.877834,Connaught Place,766.7,4.93,0.072
2025-12-08 10:39:46.877834,Connaught Place,545.3,4.49,0.105
2025-12-08 11:39:46.877834,Connaught Place,539.4,4.31,0.115
2025-12-08 12:39:46.877834,Connaught Place,492.1,4.61,0.172
2025-12-08 13:39:46.877834,Connaught Place,513.0,4.83,0.278
2025-12-08 14:39:46.877834,Connaught Place,510.3,5.12,0.197
2025-12-08 15:39:46.877834,Connaught Place,492.2,4.69,0.011
2025-12-08 16:39:46.877834,Connaught Place,490.9,4.3,0.105
2025-12-08 17:39:46.877834,Connaught Place,448.8,4.74,0.459
2025-12-08 18:39:46.877834,Connaught Place,664.1,4.37,0.232
2025-12-08 19:39:46.877834,Connaught Place,591.2,4.4,0.149
2025-12-08 20:39:46.877834,Connaught Place,667.8,4.07,0.032
2025-12-08 21:39:46.877834,Connaught Place,693.8,4.19,0.078
2025-12-08 22:39:46.877834,Connaught Place,497.7,4.9,0.017
2025-12-08 23:39:46.877834,Connaught Place,503.4,4.66,0.194
2025-12-09 00:39:46.877834,Connaught Place,444.6,4.08,0.276
2025-12-09 01:39:46.877834,Connaught Place,438.6,3.91,0.18
2025-12-09 02:39:46.877834,Connaught Place,487.0,4.65,0.242
2025-12-09 03:39:46.877834,Connaught Place,536.9,4.23,0.24
2025-12-09 04:39:46.877834,Connaught Place,478.0,4.74,0.006
2025-12-09 05:39:46.877834,Connaught Place,516.5,4.66,0.237
2025-12-09 06:39:46.877834,Connaught Place,655.1,4.96,0.087
2025-12-09 07:39:46.877834,Connaught Place,664.2,4.36,0.09
2025-12-09 08:39:46.877834,Connaught Place,720.5,4.04,0.044
2025-12-09 09:39:46.877834,Connaught Place,725.5,4.49,0.013
2025-12-09 10:39:46.877834,Connaught Place,480.8,4.49,0.339
2025-12-09 11:39:46.877834,Connaught Place,516.2,4.8,0.072
2025-12-09 12:39:46.877834,Connaught Place,510.6,4.24,0.542
2025-12-09 13:39:46.877834,Connaught Place,529.7,4.24,0.099
2025-12-09 14:39:46.877834,Connaught Place,488.4,4.28,0.074
2025-12-09 15:39:46.877834,Connaught Place,462.4,4.66,0.16
2025-12-09 16:39:46.877834,Connaught Place,480.5,4.62,0.266
2025-12-09 17:39:46.877834,Connaught Place,522.2,4.75,0.188
2025-12-09 18:39:46.877834,Connaught Place,696.0,4.76,0.114
2025-12-09 19:39:46.877834,Connaught Place,642.1,4.48,0.177
2025-12-09 20:39:46.877834,Connaught Place,709.7,4.16,0.328
2025-12-09 21:39:46.877834,Connaught Place,661.6,4.37,0.008
2025-12-09 22:39:46.877834,Connaught Place,503.9,4.94,0.223
2025-12-09 23:39:46.877834,Connaught Place,495.9,4.45,0.215
2025-12-10 00:39:46.877834,Connaught Place,460.0,4.58,0.161
