timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-06 20:58:54.326396,Banjara Hills,62.9,15.67,30.27,417.1
2025-12-06 21:58:54.326396,Banjara Hills,57.3,9.84,16.84,442.6
2025-12-06 22:58:54.326396,Banjara Hills,56.7,12.19,20.82,427.9
2025-12-06 23:58:54.326396,Banjara Hills,72.8,18.66,40.59,422.2
2025-12-07 00:58:54.326396,Banjara Hills,63.3,11.14,25.5,409.6
2025-12-07 01:58:54.326396,Banjara Hills,76.3,18.37,31.42,436.2
2025-12-07 02:58:54.326396,Banjara Hills,64.2,15.34,29.59,403.1
2025-12-07 03:58:54.326396,Banjara Hills,55.7,10.49,16.77,421.6
2025-12-07 04:58:54.326396,Banjara Hills,49.7,9.26,18.62,408.3
2025-12-07 05:58:54.326396,Banjara Hills,61.3,13.74,24.43,427.8
2025-12-07 06:58:54.326396,Banjara Hills,54.4,11.28,19.83,466.2
2025-12-07 07:58:54.326396,Banjara Hills,88.3,20.57,36.34,449.7
2025-12-07 08:58:54.326396,Banjara Hills,84.6,22.43,42.48,437.6
2025-12-07 09:58:54.326396,Banjara Hills,77.2,15.74,36.01,432.4
2025-12-07 10:58:54.326396,Banjara Hills,58.1,12.09,22.63,425.9
2025-12-07 11:58:54.326396,Banjara Hills,54.5,9.82,20.19,435.7
2025-12-07 12:58:54.326396,Banjara Hills,71.7,17.02,30.54,414.6
2025-12-07 13:58:54.326396,Banjara Hills,72.9,19.22,32.96,431.2
2025-12-07 14:58:54.326396,Banjara Hills,62.9,16.9,36.78,438.6
2025-12-07 15:58:54.326396,Banjara Hills,77.1,16.32,28.41,414.1
2025-12-07 16:58:54.326396,Banjara Hills,57.9,15.62,25.65,443.2
2025-12-07 17:58:54.326396,Banjara Hills,98.9,22.75,38.85,453.7
2025-12-07 18:58:54.326396,Banjara Hills,75.5,15.63,26.73,420.6
2025-12-07 19:58:54.326396,Banjara Hills,63.3,15.13,27.74,454.7
2025-12-07 20:58:54.326396,Banjara Hills,71.3,17.81,35.97,426.3
2025-12-07 21:58:54.326396,Banjara Hills,60.8,12.42,20.91,435.5
2025-12-07 22:58:54.326396,Banjara Hills,77.1,18.6,35.8,449.0
2025-12-07 23:58:54.326396,Banjara Hills,56.3,14.58,29.86,399.9
2025-12-08 00:58:54.326396,Banjara Hills,56.8,9.79,15.62,418.9
2025-12-08 01:58:54.326396,Banjara Hills,63.7,11.21,22.75,453.4
2025-12-08 02:58:54.326396,Banjara Hills,56.1,11.73,24.77,411.6
2025-12-08 03:58:54.326396,Banjara Hills,63.0,16.37,29.4,428.3
2025-12-08 04:58:54.326396,Banjara Hills,54.1,15.36,31.63,406.2
2025-12-08 05:58:54.326396,Banjara Hills,59.5,18.34,33.98,431.1
2025-12-08 06:58:54.326396,Banjara Hills,77.5,17.56,32.18,404.6
2025-12-08 07:58:54.326396,Banjara Hills,79.4,20.91,38.78,487.8
2025-12-08 08:58:54.326396,Banjara Hills,78.0,20.3,36.43,430.3
2025-12-08 09:58:54.326396,Banjara Hills,75.1,18.35,35.45,423.5
2025-12-08 10:58:54.326396,Banjara Hills,64.1,16.48,30.81,438.4
2025-12-08 11:58:54.326396,Banjara Hills,68.3,17.2,34.38,412.7
2025-12-08 12:58:54.326396,Banjara Hills,63.5,17.6,34.42,423.2
2025-12-08 13:58:54.326396,Banjara Hills,66.7,13.67,18.49,422.1
2025-12-08 14:58:54.326396,Banjara Hills,65.9,14.47,28.15,443.4
2025-12-08 15:58:54.326396,Banjara Hills,66.8,14.52,19.98,420.5
2025-12-08 16:58:54.326396,Banjara Hills,76.2,18.44,34.89,448.1
2025-12-08 17:58:54.326396,Banjara Hills,82.3,16.82,31.33,465.4
2025-12-08 18:58:54.326396,Banjara Hills,74.6,18.4,34.52,454.2
2025-12-08 19:58:54.326396,Banjara Hills,71.4,12.65,25.6,432.1
2025-12-08 20:58:54.326396,Banjara Hills,58.6,12.16,21.73,436.6
2025-12-08 21:58:54.326396,Banjara Hills,64.3,15.88,33.8,437.6
2025-12-08 22:58:54.326396,Banjara Hills,67.3,16.12,28.78,433.7
2025-12-08 23:58:54.326396,Banjara Hills,77.7,16.36,31.14,429.1
2025-12-09 00:58:54.326396,Banjara Hills,52.8,7.26,14.84,444.6
2025-12-09 01:58:54.326396,Banjara Hills,73.1,17.33,28.77,432.8
2025-12-09 02:58:54.326396,Banjara Hills,70.8,16.86,31.77,449.6
2025-12-09 03:58:54.326396,Banjara Hills,75.8,16.0,27.28,455.9
2025-12-09 04:58:54.326396,Banjara Hills,54.0,12.79,27.07,441.1
2025-12-09 05:58:54.326396,Banjara Hills,72.7,20.34,35.2,436.5
2025-12-09 06:58:54.326396,Banjara Hills,76.9,13.0,21.64,415.9
2025-12-09 07:58:54.326396,Banjara Hills,83.7,23.31,47.15,431.5
2025-12-09 08:58:54.326396,Banjara Hills,96.3,24.45,41.44,455.0
2025-12-09 09:58:54.326396,Banjara Hills,79.5,18.48,30.7,426.8
2025-12-09 10:58:54.326396,Banjara Hills,61.3,14.79,31.42,459.1
2025-12-09 11:58:54.326396,Banjara Hills,59.4,12.94,32.23,461.3
2025-12-09 12:58:54.326396,Banjara Hills,71.4,16.54,29.1,433.7
2025-12-09 13:58:54.326396,Banjara Hills,72.9,16.37,34.13,432.7
2025-12-09 14:58:54.326396,Banjara Hills,68.9,18.54,33.99,469.7
2025-12-09 15:58:54.326396,Banjara Hills,62.0,18.14,30.45,413.0
2025-12-09 16:58:54.326396,Banjara Hills,54.4,14.74,24.01,434.7
2025-12-09 17:58:54.326396,Banjara Hills,92.5,22.88,45.76,435.6
2025-12-09 18:58:54.326396,Banjara Hills,65.0,15.43,28.17,418.8
2025-12-09 19:58:54.326396,Banjara Hills,81.9,21.11,39.7,430.0
2025-12-09 20:58:54.326396,Banjara Hills,62.4,12.91,27.94,430.0
2025-12-09 21:58:54.326396,Banjara Hills,63.4,15.37,28.83,426.1
2025-12-09 22:58:54.326396,Banjara Hills,74.3,17.37,32.44,458.1
2025-12-09 23:58:54.326396,Banjara Hills,65.6,17.42,36.23,448.0
2025-12-10 00:58:54.326396,Banjara Hills,76.7,18.88,33.93,432.2
2025-12-10 01:58:54.326396,Banjara Hills,67.5,15.36,31.32,439.8
2025-12-10 02:58:54.326396,Banjara Hills,56.7,14.61,31.39,447.0
2025-12-10 03:58:54.326396,Banjara Hills,64.1,17.43,30.53,416.6
2025-12-10 04:58:54.326396,Banjara Hills,67.6,18.25,36.12,453.7
2025-12-10 05:58:54.326396,Banjara Hills,71.5,18.09,37.74,462.2
2025-12-10 06:58:54.326396,Banjara Hills,65.6,17.0,29.03,445.5
2025-12-10 07:58:54.326396,Banjara Hills,88.8,26.54,49.2,454.6
2025-12-10 08:58:54.326396,Banjara Hills,73.1,19.7,37.04,426.1
2025-12-10 09:58:54.326396,Banjara Hills,80.5,18.36,31.51,482.9
2025-12-10 10:58:54.326396,Banjara Hills,63.1,16.27,32.71,426.1
2025-12-10 11:58:54.326396,Banjara Hills,73.3,16.47,32.23,403.8
2025-12-10 12:58:54.326396,Banjara Hills,59.7,11.79,19.92,398.0
2025-12-10 13:58:54.326396,Banjara Hills,57.7,11.11,17.89,444.3
2025-12-10 14:58:54.326396,Banjara Hills,68.1,18.82,39.87,415.4
2025-12-10 15:58:54.326396,Banjara Hills,57.2,15.08,23.47,418.5
2025-12-10 16:58:54.326396,Banjara Hills,59.3,13.96,29.78,423.6
2025-12-10 17:58:54.326396,Banjara Hills,99.8,25.38,46.79,461.3
2025-12-10 18:58:54.326396,Banjara Hills,63.4,14.9,27.75,445.3
2025-12-10 19:58:54.326396,Banjara Hills,77.5,12.05,24.45,453.6
2025-12-10 20:58:54.326396,Banjara Hills,61.2,14.56,27.83,478.8
2025-12-10 21:58:54.326396,Banjara Hills,66.0,15.16,26.31,420.4
2025-12-10 22:58:54.326396,Banjara Hills,79.8,21.55,38.14,441.3
2025-12-10 23:58:54.326396,Banjara Hills,70.2,15.26,26.52,442.7
2025-12-11 00:58:54.326396,Banjara Hills,58.4,17.88,40.16,427.4
2025-12-11 01:58:54.326396,Banjara Hills,64.0,15.94,31.29,434.5
2025-12-11 02:58:54.326396,Banjara Hills,63.2,11.21,22.18,435.7
2025-12-11 03:58:54.326396,Banjara Hills,64.7,17.2,36.55,425.2
2025-12-11 04:58:54.326396,Banjara Hills,54.9,13.93,20.36,438.7
2025-12-11 05:58:54.326396,Banjara Hills,56.7,15.41,24.1,445.0
2025-12-11 06:58:54.326396,Banjara Hills,61.7,18.27,39.04,453.8
2025-12-11 07:58:54.326396,Banjara Hills,92.5,20.42,36.07,449.7
2025-12-11 08:58:54.326396,Banjara Hills,72.8,19.75,35.93,421.0
2025-12-11 09:58:54.326396,Banjara Hills,78.3,16.84,27.81,426.3
2025-12-11 10:58:54.326396,Banjara Hills,71.8,16.81,35.64,437.4
2025-12-11 11:58:54.326396,Banjara Hills,57.2,12.44,19.74,401.2
2025-12-11 12:58:54.326396,Banjara Hills,68.5,15.09,26.67,414.6
2025-12-11 13:58:54.326396,Banjara Hills,64.1,15.61,31.77,428.2
2025-12-11 14:58:54.326396,Banjara Hills,57.9,16.05,29.37,433.5
2025-12-11 15:58:54.326396,Banjara Hills,64.7,13.75,29.2,437.7
2025-12-11 16:58:54.326396,Banjara Hills,61.1,13.75,21.22,430.9
2025-12-11 17:58:54.326396,Banjara Hills,62.2,13.85,32.14,420.4
