timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-06 20:58:54.326396,Banjara Hills,443.85,7.81,51.9
2025-12-06 21:58:54.326396,Banjara Hills,407.03,3.01,48.1
2025-12-06 22:58:54.326396,Banjara Hills,389.92,1.09,46.3
2025-12-06 23:58:54.326396,Banjara Hills,401.85,0.29,47.8
2025-12-07 00:58:54.326396,Banjara Hills,386.42,0.0,46.0
2025-12-07 01:58:54.326396,Banjara Hills,407.36,0.02,48.5
2025-12-07 02:58:54.326396,Banjara Hills,439.94,0.06,52.4
2025-12-07 03:58:54.326396,Banjara Hills,429.2,0.26,51.1
2025-12-07 04:58:54.326396,Banjara Hills,405.33,1.05,48.1
2025-12-07 05:58:54.326396,Banjara Hills,424.35,2.89,50.2
2025-12-07 06:58:54.326396,Banjara Hills,499.56,8.27,58.5
2025-12-07 07:58:54.326396,Banjara Hills,398.43,18.9,45.2
2025-12-07 08:58:54.326396,Banjara Hills,860.08,34.58,98.3
2025-12-07 09:58:54.326396,Banjara Hills,823.19,63.84,90.4
2025-12-07 10:58:54.326396,Banjara Hills,766.91,86.19,81.0
2025-12-07 11:58:54.326396,Banjara Hills,822.13,126.03,82.9
2025-12-07 12:58:54.326396,Banjara Hills,754.06,156.42,71.1
2025-12-07 13:58:54.326396,Banjara Hills,822.36,133.83,82.0
2025-12-07 14:58:54.326396,Banjara Hills,799.53,173.07,74.6
2025-12-07 15:58:54.326396,Banjara Hills,798.48,115.78,81.3
2025-12-07 16:58:54.326396,Banjara Hills,873.05,86.0,93.7
2025-12-07 17:58:54.326396,Banjara Hills,876.41,74.17,95.5
2025-12-07 18:58:54.326396,Banjara Hills,806.54,34.71,91.9
2025-12-07 19:58:54.326396,Banjara Hills,395.51,15.61,45.2
2025-12-07 20:58:54.326396,Banjara Hills,393.66,7.56,46.0
2025-12-07 21:58:54.326396,Banjara Hills,413.57,2.77,48.9
2025-12-07 22:58:54.326396,Banjara Hills,476.55,1.04,56.6
2025-12-07 23:58:54.326396,Banjara Hills,408.95,0.27,48.7
2025-12-08 00:58:54.326396,Banjara Hills,434.4,0.01,51.7
2025-12-08 01:58:54.326396,Banjara Hills,438.03,0.02,52.1
2025-12-08 02:58:54.326396,Banjara Hills,411.8,0.1,49.0
2025-12-08 03:58:54.326396,Banjara Hills,407.19,0.41,48.4
2025-12-08 04:58:54.326396,Banjara Hills,413.89,1.17,49.1
2025-12-08 05:58:54.326396,Banjara Hills,424.01,3.96,50.0
2025-12-08 06:58:54.326396,Banjara Hills,421.91,10.87,48.9
2025-12-08 07:58:54.326396,Banjara Hills,440.91,21.82,49.9
2025-12-08 08:58:54.326396,Banjara Hills,918.85,48.18,103.7
2025-12-08 09:58:54.326396,Banjara Hills,792.43,92.91,83.3
2025-12-08 10:58:54.326396,Banjara Hills,860.21,108.45,89.5
2025-12-08 11:58:54.326396,Banjara Hills,896.93,168.23,86.8
2025-12-08 12:58:54.326396,Banjara Hills,872.07,183.34,82.0
2025-12-08 13:58:54.326396,Banjara Hills,771.31,217.68,65.9
2025-12-08 14:58:54.326396,Banjara Hills,694.58,196.99,59.2
2025-12-08 15:58:54.326396,Banjara Hills,894.32,177.71,85.3
2025-12-08 16:58:54.326396,Banjara Hills,804.69,127.6,80.6
2025-12-08 17:58:54.326396,Banjara Hills,840.46,80.7,90.4
2025-12-08 18:58:54.326396,Banjara Hills,907.47,48.61,102.2
2025-12-08 19:58:54.326396,Banjara Hills,434.29,22.54,49.0
2025-12-08 20:58:54.326396,Banjara Hills,433.0,9.25,50.4
2025-12-08 21:58:54.326396,Banjara Hills,413.24,3.62,48.8
2025-12-08 22:58:54.326396,Banjara Hills,416.75,1.13,49.5
2025-12-08 23:58:54.326396,Banjara Hills,457.15,0.47,54.4
2025-12-09 00:58:54.326396,Banjara Hills,412.93,0.0,49.2
2025-12-09 01:58:54.326396,Banjara Hills,389.09,0.02,46.3
2025-12-09 02:58:54.326396,Banjara Hills,455.14,0.09,54.2
2025-12-09 03:58:54.326396,Banjara Hills,426.92,0.37,50.8
2025-12-09 04:58:54.326396,Banjara Hills,424.29,1.29,50.4
2025-12-09 05:58:54.326396,Banjara Hills,419.0,4.21,49.4
2025-12-09 06:58:54.326396,Banjara Hills,421.59,10.07,49.0
2025-12-09 07:58:54.326396,Banjara Hills,432.65,25.64,48.5
2025-12-09 08:58:54.326396,Banjara Hills,785.91,46.72,88.0
2025-12-09 09:58:54.326396,Banjara Hills,847.16,87.06,90.5
2025-12-09 10:58:54.326396,Banjara Hills,822.13,106.16,85.2
2025-12-09 11:58:54.326396,Banjara Hills,820.7,160.92,78.5
2025-12-09 12:58:54.326396,Banjara Hills,878.83,233.51,76.8
2025-12-09 13:58:54.326396,Banjara Hills,841.54,241.39,71.4
2025-12-09 14:58:54.326396,Banjara Hills,850.27,195.3,78.0
2025-12-09 15:58:54.326396,Banjara Hills,862.18,169.55,82.5
2025-12-09 16:58:54.326396,Banjara Hills,771.87,130.5,76.4
2025-12-09 17:58:54.326396,Banjara Hills,813.33,82.53,87.0
2025-12-09 18:58:54.326396,Banjara Hills,857.77,52.0,95.9
2025-12-09 19:58:54.326396,Banjara Hills,481.7,25.92,54.3
2025-12-09 20:58:54.326396,Banjara Hills,436.14,9.6,50.8
2025-12-09 21:58:54.326396,Banjara Hills,399.76,4.24,47.1
2025-12-09 22:58:54.326396,Banjara Hills,444.28,1.21,52.7
2025-12-09 23:58:54.326396,Banjara Hills,444.38,0.37,52.9
2025-12-10 00:58:54.326396,Banjara Hills,411.75,0.0,49.0
2025-12-10 01:58:54.326396,Banjara Hills,421.01,0.02,50.1
2025-12-10 02:58:54.326396,Banjara Hills,363.63,0.1,43.3
2025-12-10 03:58:54.326396,Banjara Hills,455.5,0.36,54.2
2025-12-10 04:58:54.326396,Banjara Hills,417.0,1.22,49.5
2025-12-10 05:58:54.326396,Banjara Hills,432.2,3.14,51.1
2025-12-10 06:58:54.326396,Banjara Hills,411.28,10.3,47.7
2025-12-10 07:58:54.326396,Banjara Hills,443.48,22.58,50.1
2025-12-10 08:58:54.326396,Banjara Hills,864.63,47.27,97.3
2025-12-10 09:58:54.326396,Banjara Hills,800.89,87.0,85.0
2025-12-10 10:58:54.326396,Banjara Hills,836.73,122.17,85.1
2025-12-10 11:58:54.326396,Banjara Hills,800.84,176.7,74.3
2025-12-10 12:58:54.326396,Banjara Hills,949.41,201.37,89.1
2025-12-10 13:58:54.326396,Banjara Hills,791.34,221.56,67.8
2025-12-10 14:58:54.326396,Banjara Hills,836.64,215.19,74.0
2025-12-10 15:58:54.326396,Banjara Hills,837.88,177.7,78.6
2025-12-10 16:58:54.326396,Banjara Hills,839.26,115.82,86.1
2025-12-10 17:58:54.326396,Banjara Hills,875.86,86.79,93.9
2025-12-10 18:58:54.326396,Banjara Hills,775.0,45.63,86.8
2025-12-10 19:58:54.326396,Banjara Hills,421.75,21.34,47.7
2025-12-10 20:58:54.326396,Banjara Hills,419.52,10.02,48.7
2025-12-10 21:58:54.326396,Banjara Hills,389.11,3.49,45.9
2025-12-10 22:58:54.326396,Banjara Hills,425.31,1.26,50.5
2025-12-10 23:58:54.326396,Banjara Hills,396.68,0.36,47.2
2025-12-11 00:58:54.326396,Banjara Hills,416.78,0.0,49.6
2025-12-11 01:58:54.326396,Banjara Hills,407.57,0.03,48.5
2025-12-11 02:58:54.326396,Banjara Hills,388.54,0.11,46.2
2025-12-11 03:58:54.326396,Banjara Hills,433.63,0.35,51.6
2025-12-11 04:58:54.326396,Banjara Hills,439.4,1.26,52.2
2025-12-11 05:58:54.326396,Banjara Hills,420.19,3.93,49.6
2025-12-11 06:58:54.326396,Banjara Hills,447.65,9.11,52.2
