timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-06 20:58:54.326396,Banjara Hills,637.6,4.5,0.32
2025-12-06 21:58:54.326396,Banjara Hills,712.1,4.5,0.085
2025-12-06 22:58:54.326396,Banjara Hills,522.0,4.71,0.38
2025-12-06 23:58:54.326396,Banjara Hills,545.1,4.21,0.162
2025-12-07 00:58:54.326396,Banjara Hills,515.9,4.7,0.45
2025-12-07 01:58:54.326396,Banjara Hills,548.3,4.49,0.103
2025-12-07 02:58:54.326396,Banjara Hills,476.8,4.27,0.294
2025-12-07 03:58:54.326396,Banjara Hills,469.0,4.0,0.202
2025-12-07 04:58:54.326396,Banjara Hills,524.7,4.53,0.071
2025-12-07 05:58:54.326396,Banjara Hills,475.1,4.74,0.233
2025-12-07 06:58:54.326396,Banjara Hills,636.4,4.56,0.037
2025-12-07 07:58:54.326396,Banjara Hills,748.5,4.55,0.135
2025-12-07 08:58:54.326396,Banjara Hills,647.5,3.99,0.019
2025-12-07 09:58:54.326396,Banjara Hills,665.6,4.5,0.156
2025-12-07 10:58:54.326396,Banjara Hills,478.0,4.39,0.232
2025-12-07 11:58:54.326396,Banjara Hills,628.2,4.04,0.241
2025-12-07 12:58:54.326396,Banjara Hills,490.9,4.35,0.022
2025-12-07 13:58:54.326396,Banjara Hills,431.6,4.5,0.102
2025-12-07 14:58:54.326396,Banjara Hills,531.5,4.51,0.076
2025-12-07 15:58:54.326396,Banjara Hills,517.9,4.53,0.563
2025-12-07 16:58:54.326396,Banjara Hills,458.3,4.78,0.122
2025-12-07 17:58:54.326396,Banjara Hills,562.5,4.83,0.006
2025-12-07 18:58:54.326396,Banjara Hills,690.9,4.61,0.052
2025-12-07 19:58:54.326396,Banjara Hills,674.4,5.0,0.101
2025-12-07 20:58:54.326396,Banjara Hills,676.6,4.33,0.006
2025-12-07 21:58:54.326396,Banjara Hills,664.9,4.48,0.078
2025-12-07 22:58:54.326396,Banjara Hills,501.5,4.28,0.078
2025-12-07 23:58:54.326396,Banjara Hills,457.7,4.83,0.046
