timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2026-06-26 22:51:20.152326,Mansarovar,449.74,1.45,53.4
2026-06-26 23:51:20.152326,Mansarovar,410.86,0.38,48.9
2026-06-27 00:51:20.152326,Mansarovar,391.55,0.0,46.6
2026-06-27 01:51:20.152326,Mansarovar,435.18,0.02,51.8
2026-06-27 02:51:20.152326,Mansarovar,430.18,0.07,51.2
2026-06-27 03:51:20.152326,Mansarovar,412.55,0.32,49.1
2026-06-27 04:51:20.152326,Mansarovar,482.02,1.05,57.3
2026-06-27 05:51:20.152326,Mansarovar,422.45,3.34,49.9
2026-06-27 06:51:20.152326,Mansarovar,376.54,9.43,43.7
2026-06-27 07:51:20.152326,Mansarovar,405.97,18.51,46.1
2026-06-27 08:51:20.152326,Mansarovar,907.07,32.1,104.2
2026-06-27 09:51:20.152326,Mansarovar,723.0,67.02,78.1
2026-06-27 10:51:20.152326,Mansarovar,861.23,108.56,89.6
2026-06-27 11:51:20.152326,Mansarovar,782.99,133.66,77.3
2026-06-27 12:51:20.152326,Mansarovar,818.81,174.78,76.7
2026-06-27 13:51:20.152326,Mansarovar,839.57,150.34,82.1
2026-06-27 14:51:20.152326,Mansarovar,759.07,186.07,68.2
2026-06-27 15:51:20.152326,Mansarovar,793.44,145.94,77.1
2026-06-27 16:51:20.152326,Mansarovar,868.18,108.1,90.5
2026-06-27 17:51:20.152326,Mansarovar,850.37,62.07,93.8
2026-06-27 18:51:20.152326,Mansarovar,734.16,34.07,83.3
2026-06-27 19:51:20.152326,Mansarovar,431.86,21.44,48.9
2026-06-27 20:51:20.152326,Mansarovar,421.95,7.41,49.3
2026-06-27 21:51:20.152326,Mansarovar,435.09,2.84,51.5
2026-06-27 22:51:20.152326,Mansarovar,437.68,1.16,52.0
2026-06-27 23:51:20.152326,Mansarovar,411.07,0.29,48.9
2026-06-28 00:51:20.152326,Mansarovar,381.47,0.0,45.4
2026-06-28 01:51:20.152326,Mansarovar,429.06,0.02,51.1
2026-06-28 02:51:20.152326,Mansarovar,452.92,0.09,53.9
2026-06-28 03:51:20.152326,Mansarovar,427.33,0.29,50.8
2026-06-28 04:51:20.152326,Mansarovar,416.68,1.04,49.5
2026-06-28 05:51:20.152326,Mansarovar,404.22,3.13,47.7
2026-06-28 06:51:20.152326,Mansarovar,420.54,9.15,49.0
2026-06-28 07:51:20.152326,Mansarovar,432.33,21.56,48.9
2026-06-28 08:51:20.152326,Mansarovar,893.13,40.05,101.6
2026-06-28 09:51:20.152326,Mansarovar,871.1,63.35,96.2
2026-06-28 10:51:20.152326,Mansarovar,884.01,88.24,94.7
2026-06-28 11:51:20.152326,Mansarovar,876.4,169.72,84.1
2026-06-28 12:51:20.152326,Mansarovar,890.75,203.44,81.8
2026-06-28 13:51:20.152326,Mansarovar,906.97,180.43,86.5
2026-06-28 14:51:20.152326,Mansarovar,884.57,139.02,88.8
2026-06-28 15:51:20.152326,Mansarovar,898.86,114.45,93.4
2026-06-28 16:51:20.152326,Mansarovar,870.7,113.77,90.1
2026-06-28 17:51:20.152326,Mansarovar,879.2,64.97,96.9
2026-06-28 18:51:20.152326,Mansarovar,880.89,31.69,101.1
2026-06-28 19:51:20.152326,Mansarovar,360.81,20.3,40.5
2026-06-28 20:51:20.152326,Mansarovar,435.61,6.96,51.0
2026-06-28 21:51:20.152326,Mansarovar,425.03,3.01,50.2
2026-06-28 22:51:20.152326,Mansarovar,421.53,1.13,50.0
2026-06-28 23:51:20.152326,Mansarovar,434.49,0.25,51.7
2026-06-29 00:51:20.152326,Mansarovar,408.56,0.0,48.6
2026-06-29 01:51:20.152326,Mansarovar,432.58,0.03,51.5
2026-06-29 02:51:20.152326,Mansarovar,439.28,0.13,52.3
2026-06-29 03:51:20.152326,Mansarovar,432.04,0.39,51.4
2026-06-29 04:51:20.152326,Mansarovar,461.11,1.44,54.7
2026-06-29 05:51:20.152326,Mansarovar,446.04,4.0,52.6
2026-06-29 06:51:20.152326,Mansarovar,433.37,9.78,50.4
2026-06-29 07:51:20.152326,Mansarovar,409.71,26.1,45.7
2026-06-29 08:51:20.152326,Mansarovar,860.66,50.64,96.4
2026-06-29 09:51:20.152326,Mansarovar,882.08,83.28,95.1
2026-06-29 10:51:20.152326,Mansarovar,870.8,159.39,84.7
2026-06-29 11:51:20.152326,Mansarovar,844.98,185.8,78.5
2026-06-29 12:51:20.152326,Mansarovar,885.67,226.9,78.4
2026-06-29 13:51:20.152326,Mansarovar,775.36,265.3,60.7
2026-06-29 14:51:20.152326,Mansarovar,759.09,252.08,60.4
2026-06-29 15:51:20.152326,Mansarovar,821.74,173.28,77.2
2026-06-29 16:51:20.152326,Mansarovar,875.16,125.77,89.2
2026-06-29 17:51:20.152326,Mansarovar,796.83,85.3,84.7
2026-06-29 18:51:20.152326,Mansarovar,837.73,52.55,93.5
2026-06-29 19:51:20.152326,Mansarovar,412.87,26.71,46.0
2026-06-29 20:51:20.152326,Mansarovar,410.48,9.89,47.7
2026-06-29 21:51:20.152326,Mansarovar,404.54,4.85,47.6
2026-06-29 22:51:20.152326,Mansarovar,424.22,1.48,50.3
2026-06-29 23:51:20.152326,Mansarovar,454.96,0.33,54.1
2026-06-30 00:51:20.152326,Mansarovar,448.97,0.01,53.4
