timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2026-06-26 22:51:20.152326,Mansarovar,483.4,4.56,0.082
2026-06-26 23:51:20.152326,Mansarovar,492.3,4.81,0.177
2026-06-27 00:51:20.152326,Mansarovar,498.1,4.48,0.149
2026-06-27 01:51:20.152326,Mansarovar,488.3,4.3,0.2
2026-06-27 02:51:20.152326,Mansarovar,498.4,4.62,0.321
2026-06-27 03:51:20.152326,Mansarovar,446.5,5.05,0.317
2026-06-27 04:51:20.152326,Mansarovar,489.6,4.51,0.068
2026-06-27 05:51:20.152326,Mansarovar,474.8,5.02,0.261
2026-06-27 06:51:20.152326,Mansarovar,811.9,4.49,0.113
2026-06-27 07:51:20.152326,Mansarovar,753.0,4.55,0.172
2026-06-27 08:51:20.152326,Mansarovar,706.3,4.05,0.252
2026-06-27 09:51:20.152326,Mansarovar,744.2,4.6,0.079
2026-06-27 10:51:20.152326,Mansarovar,529.6,3.87,0.278
2026-06-27 11:51:20.152326,Mansarovar,535.7,4.8,0.077
2026-06-27 12:51:20.152326,Mansarovar,537.6,4.2,0.121
2026-06-27 13:51:20.152326,Mansarovar,506.2,5.14,0.045
2026-06-27 14:51:20.152326,Mansarovar,537.1,4.6,0.118
2026-06-27 15:51:20.152326,Mansarovar,481.1,4.38,0.072
2026-06-27 16:51:20.152326,Mansarovar,429.0,4.87,0.055
2026-06-27 17:51:20.152326,Mansarovar,467.4,4.39,0.059
2026-06-27 18:51:20.152326,Mansarovar,640.3,4.26,0.315
2026-06-27 19:51:20.152326,Mansarovar,654.1,4.47,0.054
2026-06-27 20:51:20.152326,Mansarovar,635.9,4.32,0.233
2026-06-27 21:51:20.152326,Mansarovar,644.4,4.65,0.207
2026-06-27 22:51:20.152326,Mansarovar,487.2,4.12,0.089
2026-06-27 23:51:20.152326,Mansarovar,488.4,4.39,0.126
2026-06-28 00:51:20.152326,Mansarovar,549.9,4.07,0.248
2026-06-28 01:51:20.152326,Mansarovar,470.7,4.66,0.224
2026-06-28 02:51:20.152326,Mansarovar,465.9,3.93,0.233
2026-06-28 03:51:20.152326,Mansarovar,504.6,4.39,0.109
2026-06-28 04:51:20.152326,Mansarovar,435.9,4.48,0.219
2026-06-28 05:51:20.152326,Mansarovar,479.8,4.58,0.302
2026-06-28 06:51:20.152326,Mansarovar,722.3,4.7,0.177
2026-06-28 07:51:20.152326,Mansarovar,721.0,4.26,0.287
2026-06-28 08:51:20.152326,Mansarovar,703.0,4.65,0.151
2026-06-28 09:51:20.152326,Mansarovar,724.2,4.67,0.242
2026-06-28 10:51:20.152326,Mansarovar,464.8,4.43,0.159
2026-06-28 11:51:20.152326,Mansarovar,512.8,4.77,0.355
2026-06-28 12:51:20.152326,Mansarovar,552.8,4.59,0.395
2026-06-28 13:51:20.152326,Mansarovar,457.8,4.55,0.114
2026-06-28 14:51:20.152326,Mansarovar,459.9,4.83,0.167
2026-06-28 15:51:20.152326,Mansarovar,491.3,4.53,0.184
2026-06-28 16:51:20.152326,Mansarovar,493.7,4.78,0.029
2026-06-28 17:51:20.152326,Mansarovar,471.4,3.85,0.298
2026-06-28 18:51:20.152326,Mansarovar,645.1,4.43,0.276
2026-06-28 19:51:20.152326,Mansarovar,621.6,4.15,0.188
2026-06-28 20:51:20.152326,Mansarovar,661.6,4.86,0.236
2026-06-28 21:51:20.152326,Mansarovar,672.4,4.01,0.089
2026-06-28 22:51:20.152326,Mansarovar,514.0,4.19,0.169
2026-06-28 23:51:20.152326,Mansarovar,497.0,4.69,0.043
