timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-06 21:01:26.363139,City of London,57.6,12.64,25.26,422.8
2025-12-06 22:01:26.363139,City of London,40.2,10.37,24.48,415.5
2025-12-06 23:01:26.363139,City of London,60.7,15.8,27.6,417.0
2025-12-07 00:01:26.363139,City of London,58.7,13.79,23.46,436.4
2025-12-07 01:01:26.363139,City of London,59.5,11.55,18.38,434.2
2025-12-07 02:01:26.363139,City of London,57.0,8.7,14.91,416.1
2025-12-07 03:01:26.363139,City of London,49.8,12.27,26.81,421.6
2025-12-07 04:01:26.363139,City of London,70.4,22.22,40.47,430.3
2025-12-07 05:01:26.363139,City of London,59.6,9.59,20.27,418.5
2025-12-07 06:01:26.363139,City of London,49.5,15.2,25.89,443.3
2025-12-07 07:01:26.363139,City of London,71.8,16.99,32.51,440.1
2025-12-07 08:01:26.363139,City of London,66.7,12.82,18.86,437.2
2025-12-07 09:01:26.363139,City of London,56.3,14.17,27.2,421.9
2025-12-07 10:01:26.363139,City of London,45.8,10.87,27.12,429.3
2025-12-07 11:01:26.363139,City of London,62.7,15.5,30.5,421.8
2025-12-07 12:01:26.363139,City of London,59.2,14.93,28.24,422.7
2025-12-07 13:01:26.363139,City of London,47.9,12.31,20.65,414.4
2025-12-07 14:01:26.363139,City of London,68.0,13.92,21.63,433.9
2025-12-07 15:01:26.363139,City of London,55.8,13.25,25.99,426.5
2025-12-07 16:01:26.363139,City of London,31.6,6.03,8.48,425.6
2025-12-07 17:01:26.363139,City of London,51.8,17.55,36.44,437.4
2025-12-07 18:01:26.363139,City of London,83.8,18.04,35.03,418.8
2025-12-07 19:01:26.363139,City of London,58.8,16.09,35.02,440.6
2025-12-07 20:01:26.363139,City of London,58.8,16.73,33.55,438.8
2025-12-07 21:01:26.363139,City of London,57.1,14.43,31.75,424.8
2025-12-07 22:01:26.363139,City of London,59.2,10.43,19.55,450.1
2025-12-07 23:01:26.363139,City of London,43.6,11.93,19.84,407.8
2025-12-08 00:01:26.363139,City of London,51.8,10.72,23.36,425.0
2025-12-08 01:01:26.363139,City of London,42.0,9.01,20.01,396.4
2025-12-08 02:01:26.363139,City of London,43.7,7.01,17.2,427.4
2025-12-08 03:01:26.363139,City of London,50.0,8.07,13.71,420.0
2025-12-08 04:01:26.363139,City of London,43.6,9.29,18.65,400.1
2025-12-08 05:01:26.363139,City of London,60.0,16.22,22.2,421.4
2025-12-08 06:01:26.363139,City of London,43.6,10.2,19.2,442.9
2025-12-08 07:01:26.363139,City of London,53.4,12.03,21.6,448.3
2025-12-08 08:01:26.363139,City of London,61.4,10.56,20.78,453.2
2025-12-08 09:01:26.363139,City of London,67.8,14.38,25.61,429.3
2025-12-08 10:01:26.363139,City of London,60.7,12.74,23.58,424.5
2025-12-08 11:01:26.363139,City of London,45.8,10.77,17.16,437.1
2025-12-08 12:01:26.363139,City of London,40.8,7.18,13.24,431.2
2025-12-08 13:01:26.363139,City of London,46.8,12.62,25.75,417.6
2025-12-08 14:01:26.363139,City of London,41.1,7.44,11.59,437.2
2025-12-08 15:01:26.363139,City of London,56.0,13.06,24.3,407.0
2025-12-08 16:01:26.363139,City of London,59.0,15.36,21.24,419.8
2025-12-08 17:01:26.363139,City of London,54.0,14.55,29.97,465.8
2025-12-08 18:01:26.363139,City of London,63.3,16.17,28.72,469.7
2025-12-08 19:01:26.363139,City of London,64.5,15.24,29.07,439.6
2025-12-08 20:01:26.363139,City of London,58.3,12.5,26.06,450.3
2025-12-08 21:01:26.363139,City of London,44.1,11.01,14.74,412.0
2025-12-08 22:01:26.363139,City of London,54.0,8.01,12.71,444.3
2025-12-08 23:01:26.363139,City of London,63.6,18.39,33.8,427.1
2025-12-09 00:01:26.363139,City of London,44.7,14.72,26.77,407.7
2025-12-09 01:01:26.363139,City of London,42.0,10.35,17.94,416.4
2025-12-09 02:01:26.363139,City of London,44.6,12.28,21.82,411.4
2025-12-09 03:01:26.363139,City of London,54.5,9.6,18.2,419.3
