timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-06 21:01:26.363139,City of London,477.2,1.33,51.8
2025-12-06 22:01:26.363139,City of London,440.63,0.34,47.9
2025-12-06 23:01:26.363139,City of London,438.27,0.09,47.7
2025-12-07 00:01:26.363139,City of London,458.7,0.0,49.9
2025-12-07 01:01:26.363139,City of London,479.66,0.01,52.2
2025-12-07 02:01:26.363139,City of London,491.77,0.03,53.5
2025-12-07 03:01:26.363139,City of London,413.57,0.11,45.0
2025-12-07 04:01:26.363139,City of London,478.4,0.37,52.0
2025-12-07 05:01:26.363139,City of London,460.61,0.95,50.0
2025-12-07 06:01:26.363139,City of London,470.23,2.72,50.9
2025-12-07 07:01:26.363139,City of London,459.75,6.29,49.3
2025-12-07 08:01:26.363139,City of London,883.46,14.3,94.6
2025-12-07 09:01:26.363139,City of London,883.76,29.41,93.0
2025-12-07 10:01:26.363139,City of London,987.12,37.28,103.4
2025-12-07 11:01:26.363139,City of London,928.49,38.49,96.8
2025-12-07 12:01:26.363139,City of London,1012.6,61.06,103.5
2025-12-07 13:01:26.363139,City of London,829.24,66.93,82.9
2025-12-07 14:01:26.363139,City of London,945.07,63.89,95.9
2025-12-07 15:01:26.363139,City of London,894.78,57.61,91.1
2025-12-07 16:01:26.363139,City of London,855.69,41.28,88.6
2025-12-07 17:01:26.363139,City of London,867.99,24.67,91.8
2025-12-07 18:01:26.363139,City of London,890.3,15.09,95.2
2025-12-07 19:01:26.363139,City of London,464.96,6.86,49.8
2025-12-07 20:01:26.363139,City of London,474.65,2.96,51.3
2025-12-07 21:01:26.363139,City of London,449.25,1.1,48.8
2025-12-07 22:01:26.363139,City of London,460.14,0.42,50.0
2025-12-07 23:01:26.363139,City of London,398.34,0.1,43.3
2025-12-08 00:01:26.363139,City of London,483.64,0.0,52.6
2025-12-08 01:01:26.363139,City of London,436.54,0.01,47.5
2025-12-08 02:01:26.363139,City of London,450.96,0.04,49.1
2025-12-08 03:01:26.363139,City of London,453.17,0.15,49.3
2025-12-08 04:01:26.363139,City of London,451.4,0.46,49.1
2025-12-08 05:01:26.363139,City of London,461.42,1.25,50.1
2025-12-08 06:01:26.363139,City of London,486.73,3.78,52.6
2025-12-08 07:01:26.363139,City of London,479.08,7.24,51.3
2025-12-08 08:01:26.363139,City of London,888.95,19.16,94.6
2025-12-08 09:01:26.363139,City of London,950.11,29.1,100.2
2025-12-08 10:01:26.363139,City of London,900.94,50.75,92.5
2025-12-08 11:01:26.363139,City of London,940.48,77.43,93.9
2025-12-08 12:01:26.363139,City of London,889.29,82.2,87.8
2025-12-08 13:01:26.363139,City of London,982.6,91.04,97.0
2025-12-08 14:01:26.363139,City of London,916.38,107.42,88.0
2025-12-08 15:01:26.363139,City of London,935.03,77.05,93.4
2025-12-08 16:01:26.363139,City of London,945.09,50.93,97.3
2025-12-08 17:01:26.363139,City of London,870.05,29.95,91.4
2025-12-08 18:01:26.363139,City of London,1001.1,20.06,106.8
2025-12-08 19:01:26.363139,City of London,420.32,6.78,45.0
2025-12-08 20:01:26.363139,City of London,441.61,4.01,47.6
2025-12-08 21:01:26.363139,City of London,454.6,1.69,49.3
2025-12-08 22:01:26.363139,City of London,488.51,0.56,53.1
2025-12-08 23:01:26.363139,City of London,459.51,0.18,50.0
2025-12-09 00:01:26.363139,City of London,449.89,0.0,49.0
2025-12-09 01:01:26.363139,City of London,498.83,0.01,54.3
2025-12-09 02:01:26.363139,City of London,460.69,0.04,50.1
2025-12-09 03:01:26.363139,City of London,463.91,0.15,50.5
2025-12-09 04:01:26.363139,City of London,428.36,0.55,46.6
2025-12-09 05:01:26.363139,City of London,434.25,1.49,47.1
2025-12-09 06:01:26.363139,City of London,433.44,4.18,46.7
2025-12-09 07:01:26.363139,City of London,502.55,9.38,53.7
2025-12-09 08:01:26.363139,City of London,935.69,17.71,99.9
2025-12-09 09:01:26.363139,City of London,924.7,26.23,97.8
2025-12-09 10:01:26.363139,City of London,919.41,53.53,94.2
2025-12-09 11:01:26.363139,City of London,928.38,73.52,93.0
2025-12-09 12:01:26.363139,City of London,1045.62,91.06,103.9
2025-12-09 13:01:26.363139,City of London,894.66,84.58,88.1
2025-12-09 14:01:26.363139,City of London,885.96,86.16,87.0
2025-12-09 15:01:26.363139,City of London,923.7,68.16,93.1
2025-12-09 16:01:26.363139,City of London,987.04,54.04,101.5
2025-12-09 17:01:26.363139,City of London,922.32,31.78,96.9
2025-12-09 18:01:26.363139,City of London,1037.58,18.37,110.9
2025-12-09 19:01:26.363139,City of London,464.78,9.25,49.6
2025-12-09 20:01:26.363139,City of London,439.9,4.02,47.4
2025-12-09 21:01:26.363139,City of London,452.76,1.5,49.1
2025-12-09 22:01:26.363139,City of London,476.95,0.57,51.8
2025-12-09 23:01:26.363139,City of London,460.3,0.14,50.1
2025-12-10 00:01:26.363139,City of London,462.04,0.0,50.3
2025-12-10 01:01:26.363139,City of London,479.78,0.01,52.2
2025-12-10 02:01:26.363139,City of London,392.71,0.04,42.7
2025-12-10 03:01:26.363139,City of London,505.6,0.15,55.0
2025-12-10 04:01:26.363139,City of London,389.23,0.47,42.3
2025-12-10 05:01:26.363139,City of London,460.89,1.39,50.0
2025-12-10 06:01:26.363139,City of London,493.8,2.97,53.4
2025-12-10 07:01:26.363139,City of London,455.57,7.57,48.7
2025-12-10 08:01:26.363139,City of London,925.72,17.76,98.8
2025-12-10 09:01:26.363139,City of London,875.8,34.23,91.6
2025-12-10 10:01:26.363139,City of London,971.57,55.9,99.6
2025-12-10 11:01:26.363139,City of London,894.34,65.66,90.2
2025-12-10 12:01:26.363139,City of London,802.48,83.4,78.2
2025-12-10 13:01:26.363139,City of London,897.61,100.92,86.7
2025-12-10 14:01:26.363139,City of London,921.26,85.95,90.9
2025-12-10 15:01:26.363139,City of London,932.38,71.85,93.6
2025-12-10 16:01:26.363139,City of London,823.93,53.92,83.8
2025-12-10 17:01:26.363139,City of London,930.51,31.11,97.9
2025-12-10 18:01:26.363139,City of London,993.29,18.79,106.0
2025-12-10 19:01:26.363139,City of London,441.96,9.27,47.1
2025-12-10 20:01:26.363139,City of London,462.82,4.06,49.9
2025-12-10 21:01:26.363139,City of London,434.7,1.5,47.1
2025-12-10 22:01:26.363139,City of London,432.98,0.59,47.1
2025-12-10 23:01:26.363139,City of London,475.7,0.13,51.7
2025-12-11 00:01:26.363139,City of London,458.15,0.0,49.9
2025-12-11 01:01:26.363139,City of London,451.07,0.01,49.1
2025-12-11 02:01:26.363139,City of London,429.11,0.04,46.7
2025-12-11 03:01:26.363139,City of London,447.35,0.17,48.7
2025-12-11 04:01:26.363139,City of London,468.39,0.5,50.9
2025-12-11 05:01:26.363139,City of London,404.95,1.54,43.9
2025-12-11 06:01:26.363139,City of London,470.6,3.95,50.8
2025-12-11 07:01:26.363139,City of London,388.6,8.82,41.3
2025-12-11 08:01:26.363139,City of London,868.98,17.75,92.6
2025-12-11 09:01:26.363139,City of London,879.67,34.14,92.0
2025-12-11 10:01:26.363139,City of London,828.44,49.13,84.8
2025-12-11 11:01:26.363139,City of London,845.31,77.48,83.6
2025-12-11 12:01:26.363139,City of London,942.96,73.68,94.6
2025-12-11 13:01:26.363139,City of London,908.54,84.69,89.6
2025-12-11 14:01:26.363139,City of London,969.5,65.73,98.3
2025-12-11 15:01:26.363139,City of London,893.93,74.48,89.2
2025-12-11 16:01:26.363139,City of London,872.45,65.24,87.8
2025-12-11 17:01:26.363139,City of London,916.62,28.65,96.6
2025-12-11 18:01:26.363139,City of London,926.94,17.5,99.0
2025-12-11 19:01:26.363139,City of London,459.85,9.35,49.0
2025-12-11 20:01:26.363139,City of London,475.19,4.0,51.3
2025-12-11 21:01:26.363139,City of London,491.57,1.46,53.3
2025-12-11 22:01:26.363139,City of London,409.71,0.52,44.5
2025-12-11 23:01:26.363139,City of London,403.56,0.15,43.9
2025-12-12 00:01:26.363139,City of London,440.07,0.0,47.9
2025-12-12 01:01:26.363139,City of London,441.69,0.01,48.1
2025-12-12 02:01:26.363139,City of London,504.33,0.05,54.9
2025-12-12 03:01:26.363139,City of London,403.58,0.16,43.9
2025-12-12 04:01:26.363139,City of London,453.2,0.55,49.3
2025-12-12 05:01:26.363139,City of London,462.88,1.32,50.2
2025-12-12 06:01:26.363139,City of London,453.01,4.53,48.8
2025-12-12 07:01:26.363139,City of London,481.97,8.13,51.6
2025-12-12 08:01:26.363139,City of London,966.09,13.54,103.7
2025-12-12 09:01:26.363139,City of London,902.38,28.71,95.1
2025-12-12 10:01:26.363139,City of London,940.69,47.03,97.2
2025-12-12 11:01:26.363139,City of London,882.4,69.53,88.5
2025-12-12 12:01:26.363139,City of London,957.38,72.24,96.3
2025-12-12 13:01:26.363139,City of London,1018.68,93.81,100.6
2025-12-12 14:01:26.363139,City of London,940.65,88.48,92.7
2025-12-12 15:01:26.363139,City of London,858.81,63.4,86.6
2025-12-12 16:01:26.363139,City of London,880.14,57.46,89.5
2025-12-12 17:01:26.363139,City of London,914.61,33.55,95.9
2025-12-12 18:01:26.363139,City of London,896.11,19.37,95.4
2025-12-12 19:01:26.363139,City of London,450.17,9.83,47.9
2025-12-12 20:01:26.363139,City of London,503.58,4.21,54.3
2025-12-12 21:01:26.363139,City of London,443.25,1.59,48.1
2025-12-12 22:01:26.363139,City of London,440.32,0.47,47.9
2025-12-12 23:01:26.363139,City of London,407.47,0.15,44.3
2025-12-13 00:01:26.363139,City of London,436.63,0.0,47.5
2025-12-13 01:01:26.363139,City of London,437.2,0.01,47.6
2025-12-13 02:01:26.363139,City of London,448.82,0.03,48.8
2025-12-13 03:01:26.363139,City of London,468.66,0.13,51.0
2025-12-13 04:01:26.363139,City of London,485.63,0.31,52.8
2025-12-13 05:01:26.363139,City of London,469.65,1.04,51.0
2025-12-13 06:01:26.363139,City of London,472.47,2.88,51.1
2025-12-13 07:01:26.363139,City of London,480.42,5.76,51.7
2025-12-13 08:01:26.363139,City of London,987.89,12.16,106.2
2025-12-13 09:01:26.363139,City of London,899.83,25.93,95.1
2025-12-13 10:01:26.363139,City of London,942.46,36.6,98.6
2025-12-13 11:01:26.363139,City of London,971.22,60.39,99.1
2025-12-13 12:01:26.363139,City of London,952.6,65.38,96.5
2025-12-13 13:01:26.363139,City of London,1015.53,67.07,103.2
2025-12-13 14:01:26.363139,City of London,1029.11,55.38,106.0
2025-12-13 15:01:26.363139,City of London,893.02,58.73,90.8
2025-12-13 16:01:26.363139,City of London,816.77,40.74,84.4
2025-12-13 17:01:26.363139,City of London,799.25,22.66,84.5
2025-12-13 18:01:26.363139,City of London,951.74,14.54,102.0
2025-12-13 19:01:26.363139,City of London,440.75,5.48,47.4
2025-12-13 20:01:26.363139,City of London,464.07,2.89,50.2
2025-12-13 21:01:26.363139,City of London,496.53,1.27,53.9
2025-12-13 22:01:26.363139,City of London,450.44,0.33,49.0
2025-12-13 23:01:26.363139,City of London,433.47,0.14,47.2
2025-12-14 00:01:26.363139,City of London,486.59,0.0,52.9
2025-12-14 01:01:26.363139,City of London,457.16,0.01,49.7
2025-12-14 02:01:26.363139,City of London,466.52,0.03,50.8
2025-12-14 03:01:26.363139,City of London,452.1,0.11,49.2
2025-12-14 04:01:26.363139,City of London,481.66,0.35,52.4
2025-12-14 05:01:26.363139,City of London,438.95,0.93,47.7
2025-12-14 06:01:26.363139,City of London,443.9,3.01,48.0
2025-12-14 07:01:26.363139,City of London,458.05,6.16,49.2
2025-12-14 08:01:26.363139,City of London,974.94,12.69,104.7
2025-12-14 09:01:26.363139,City of London,895.05,21.15,95.1
2025-12-14 10:01:26.363139,City of London,915.55,38.88,95.4
2025-12-14 11:01:26.363139,City of London,902.51,47.98,93.0
2025-12-14 12:01:26.363139,City of London,888.0,64.37,89.6
2025-12-14 13:01:26.363139,City of London,889.78,65.62,89.7
2025-12-14 14:01:26.363139,City of London,965.05,62.19,98.2
2025-12-14 15:01:26.363139,City of London,969.84,46.89,100.4
2025-12-14 16:01:26.363139,City of London,844.41,41.01,87.4
2025-12-14 17:01:26.363139,City of London,901.1,24.33,95.4
2025-12-14 18:01:26.363139,City of London,972.41,11.87,104.5
2025-12-14 19:01:26.363139,City of London,429.53,7.07,46.0
2025-12-14 20:01:26.363139,City of London,438.98,2.76,47.5
2025-12-14 21:01:26.363139,City of London,483.94,1.08,52.5
2025-12-14 22:01:26.363139,City of London,455.59,0.3,49.5
2025-12-14 23:01:26.363139,City of London,494.29,0.12,53.8
2025-12-15 00:01:26.363139,City of London,411.5,0.0,44.8
2025-12-15 01:01:26.363139,City of London,448.13,0.01,48.8
2025-12-15 02:01:26.363139,City of London,423.5,0.04,46.1
2025-12-15 03:01:26.363139,City of London,503.93,0.15,54.8
2025-12-15 04:01:26.363139,City of London,453.88,0.5,49.3
