timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-06 21:01:26.363139,City of London,682.8,4.33,0.138
2025-12-06 22:01:26.363139,City of London,482.0,3.86,0.092
2025-12-06 23:01:26.363139,City of London,452.0,4.27,0.047
2025-12-07 00:01:26.363139,City of London,487.6,4.59,0.027
2025-12-07 01:01:26.363139,City of London,457.8,4.68,0.036
2025-12-07 02:01:26.363139,City of London,500.8,4.33,0.023
2025-12-07 03:01:26.363139,City of London,512.0,4.41,0.011
2025-12-07 04:01:26.363139,City of London,514.1,4.79,0.172
2025-12-07 05:01:26.363139,City of London,489.6,4.51,0.241
2025-12-07 06:01:26.363139,City of London,741.5,5.1,0.115
2025-12-07 07:01:26.363139,City of London,651.1,4.72,0.138
2025-12-07 08:01:26.363139,City of London,786.1,4.08,0.02
2025-12-07 09:01:26.363139,City of London,629.9,4.39,0.07
2025-12-07 10:01:26.363139,City of London,493.5,5.01,0.051
2025-12-07 11:01:26.363139,City of London,482.6,4.8,0.217
2025-12-07 12:01:26.363139,City of London,507.8,4.36,0.087
2025-12-07 13:01:26.363139,City of London,446.7,4.58,0.205
2025-12-07 14:01:26.363139,City of London,569.6,3.67,0.135
2025-12-07 15:01:26.363139,City of London,460.5,5.12,0.199
2025-12-07 16:01:26.363139,City of London,499.4,5.05,0.125
2025-12-07 17:01:26.363139,City of London,448.1,4.68,0.133
2025-12-07 18:01:26.363139,City of London,627.8,4.61,0.043
2025-12-07 19:01:26.363139,City of London,546.5,4.12,0.01
2025-12-07 20:01:26.363139,City of London,598.6,4.04,0.314
2025-12-07 21:01:26.363139,City of London,641.0,4.47,0.022
2025-12-07 22:01:26.363139,City of London,474.4,4.57,0.048
2025-12-07 23:01:26.363139,City of London,508.7,4.44,0.05
2025-12-08 00:01:26.363139,City of London,468.0,4.71,0.128
2025-12-08 01:01:26.363139,City of London,536.2,4.22,0.085
2025-12-08 02:01:26.363139,City of London,545.8,4.62,0.199
2025-12-08 03:01:26.363139,City of London,525.8,4.22,0.181
2025-12-08 04:01:26.363139,City of London,537.2,4.58,0.431
2025-12-08 05:01:26.363139,City of London,527.8,4.88,0.207
2025-12-08 06:01:26.363139,City of London,670.4,4.11,0.192
2025-12-08 07:01:26.363139,City of London,718.0,4.72,0.151
2025-12-08 08:01:26.363139,City of London,757.4,4.98,0.092
2025-12-08 09:01:26.363139,City of London,700.3,4.9,0.236
2025-12-08 10:01:26.363139,City of London,490.4,4.54,0.172
2025-12-08 11:01:26.363139,City of London,489.3,4.47,0.207
2025-12-08 12:01:26.363139,City of London,455.6,4.29,0.089
2025-12-08 13:01:26.363139,City of London,538.5,4.67,0.198
2025-12-08 14:01:26.363139,City of London,456.1,4.21,0.083
2025-12-08 15:01:26.363139,City of London,520.2,4.47,0.441
2025-12-08 16:01:26.363139,City of London,429.2,4.61,0.396
2025-12-08 17:01:26.363139,City of London,450.7,4.33,0.084
2025-12-08 18:01:26.363139,City of London,672.5,4.56,0.075
2025-12-08 19:01:26.363139,City of London,698.8,4.15,0.225
2025-12-08 20:01:26.363139,City of London,584.7,4.88,0.203
2025-12-08 21:01:26.363139,City of London,631.4,4.75,0.075
2025-12-08 22:01:26.363139,City of London,514.8,4.39,0.415
2025-12-08 23:01:26.363139,City of London,450.1,4.66,0.076
2025-12-09 00:01:26.363139,City of London,498.7,4.21,0.12
2025-12-09 01:01:26.363139,City of London,525.3,4.27,0.192
2025-12-09 02:01:26.363139,City of London,466.3,4.97,0.059
2025-12-09 03:01:26.363139,City of London,509.9,4.4,0.2
2025-12-09 04:01:26.363139,City of London,483.8,4.42,0.131
