timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-06 21:00:22.364876,Downtown,80.5,21.29,40.5,437.4
2025-12-06 22:00:22.364876,Downtown,75.1,20.07,35.55,431.2
2025-12-06 23:00:22.364876,Downtown,92.7,23.59,45.08,455.1
2025-12-07 00:00:22.364876,Downtown,75.8,18.92,31.99,430.6
2025-12-07 01:00:22.364876,Downtown,70.8,17.72,32.42,443.7
2025-12-07 02:00:22.364876,Downtown,76.0,14.69,28.64,476.1
2025-12-07 03:00:22.364876,Downtown,82.9,21.24,38.13,421.8
2025-12-07 04:00:22.364876,Downtown,68.4,17.52,32.22,424.6
2025-12-07 05:00:22.364876,Downtown,74.1,14.92,28.02,451.9
2025-12-07 06:00:22.364876,Downtown,70.1,17.41,31.56,436.0
2025-12-07 07:00:22.364876,Downtown,96.4,22.02,43.4,457.1
2025-12-07 08:00:22.364876,Downtown,91.4,21.38,43.26,441.5
2025-12-07 09:00:22.364876,Downtown,95.0,20.82,38.39,428.8
2025-12-07 10:00:22.364876,Downtown,75.7,19.62,35.79,422.5
2025-12-07 11:00:22.364876,Downtown,83.4,18.69,37.81,440.7
2025-12-07 12:00:22.364876,Downtown,86.7,21.74,43.42,459.5
2025-12-07 13:00:22.364876,Downtown,85.8,21.09,32.85,419.8
2025-12-07 14:00:22.364876,Downtown,69.1,14.58,27.85,444.9
2025-12-07 15:00:22.364876,Downtown,82.2,18.73,35.47,433.5
2025-12-07 16:00:22.364876,Downtown,82.8,15.49,23.58,446.7
2025-12-07 17:00:22.364876,Downtown,88.7,19.65,41.35,436.2
2025-12-07 18:00:22.364876,Downtown,106.9,24.59,43.59,417.9
2025-12-07 19:00:22.364876,Downtown,94.5,26.71,45.47,408.3
2025-12-07 20:00:22.364876,Downtown,96.5,21.14,38.72,455.9
2025-12-07 21:00:22.364876,Downtown,70.9,15.46,20.81,432.4
2025-12-07 22:00:22.364876,Downtown,83.5,18.94,38.02,458.7
2025-12-07 23:00:22.364876,Downtown,76.8,17.33,32.79,454.1
2025-12-08 00:00:22.364876,Downtown,83.1,18.25,30.9,455.7
2025-12-08 01:00:22.364876,Downtown,73.7,15.21,30.09,419.9
2025-12-08 02:00:22.364876,Downtown,74.2,18.98,35.71,415.9
2025-12-08 03:00:22.364876,Downtown,81.1,21.52,40.53,424.0
2025-12-08 04:00:22.364876,Downtown,78.3,20.89,38.74,421.0
2025-12-08 05:00:22.364876,Downtown,61.0,9.32,19.31,443.0
2025-12-08 06:00:22.364876,Downtown,72.2,12.98,25.97,443.0
2025-12-08 07:00:22.364876,Downtown,84.2,20.36,33.43,457.4
2025-12-08 08:00:22.364876,Downtown,99.0,27.07,49.59,444.3
2025-12-08 09:00:22.364876,Downtown,93.2,22.96,38.1,453.3
2025-12-08 10:00:22.364876,Downtown,63.8,13.82,21.2,383.1
