timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-06 21:00:22.364876,Downtown,428.96,2.96,50.7
2025-12-06 22:00:22.364876,Downtown,390.97,1.2,46.4
2025-12-06 23:00:22.364876,Downtown,441.66,0.3,52.5
2025-12-07 00:00:22.364876,Downtown,437.93,0.0,52.1
2025-12-07 01:00:22.364876,Downtown,404.35,0.02,48.1
2025-12-07 02:00:22.364876,Downtown,420.74,0.09,50.1
2025-12-07 03:00:22.364876,Downtown,404.96,0.31,48.2
2025-12-07 04:00:22.364876,Downtown,412.47,1.1,49.0
2025-12-07 05:00:22.364876,Downtown,439.49,3.33,51.9
2025-12-07 06:00:22.364876,Downtown,413.98,7.69,48.4
2025-12-07 07:00:22.364876,Downtown,439.77,20.9,49.9
2025-12-07 08:00:22.364876,Downtown,825.26,35.37,94.0
2025-12-07 09:00:22.364876,Downtown,781.39,69.56,84.7
2025-12-07 10:00:22.364876,Downtown,792.8,95.75,83.0
2025-12-07 11:00:22.364876,Downtown,857.63,115.57,88.3
2025-12-07 12:00:22.364876,Downtown,767.58,158.38,72.5
2025-12-07 13:00:22.364876,Downtown,824.2,183.9,76.2
2025-12-07 14:00:22.364876,Downtown,926.28,174.08,89.5
2025-12-07 15:00:22.364876,Downtown,834.75,151.19,81.4
2025-12-07 16:00:22.364876,Downtown,863.45,122.34,88.2
2025-12-07 17:00:22.364876,Downtown,822.55,64.08,90.3
2025-12-07 18:00:22.364876,Downtown,791.84,37.92,89.8
2025-12-07 19:00:22.364876,Downtown,400.82,19.3,45.4
2025-12-07 20:00:22.364876,Downtown,420.2,6.92,49.2
2025-12-07 21:00:22.364876,Downtown,422.91,3.5,49.9
2025-12-07 22:00:22.364876,Downtown,423.13,1.15,50.2
2025-12-07 23:00:22.364876,Downtown,416.52,0.27,49.6
2025-12-08 00:00:22.364876,Downtown,410.56,0.0,48.9
2025-12-08 01:00:22.364876,Downtown,449.01,0.03,53.5
2025-12-08 02:00:22.364876,Downtown,424.12,0.11,50.5
2025-12-08 03:00:22.364876,Downtown,403.8,0.42,48.0
2025-12-08 04:00:22.364876,Downtown,453.78,1.32,53.9
2025-12-08 05:00:22.364876,Downtown,404.52,4.44,47.6
2025-12-08 06:00:22.364876,Downtown,452.45,11.96,52.4
2025-12-08 07:00:22.364876,Downtown,415.59,25.06,46.5
2025-12-08 08:00:22.364876,Downtown,940.24,40.72,107.1
2025-12-08 09:00:22.364876,Downtown,795.27,87.02,84.3
2025-12-08 10:00:22.364876,Downtown,898.17,147.27,89.4
2025-12-08 11:00:22.364876,Downtown,818.53,184.43,75.5
2025-12-08 12:00:22.364876,Downtown,790.27,242.57,65.2
2025-12-08 13:00:22.364876,Downtown,904.0,271.02,75.4
2025-12-08 14:00:22.364876,Downtown,857.73,241.48,73.4
2025-12-08 15:00:22.364876,Downtown,752.72,201.01,65.7
2025-12-08 16:00:22.364876,Downtown,823.54,120.79,83.7
2025-12-08 17:00:22.364876,Downtown,870.27,78.64,94.2
2025-12-08 18:00:22.364876,Downtown,961.14,51.45,108.3
2025-12-08 19:00:22.364876,Downtown,422.15,26.39,47.1
2025-12-08 20:00:22.364876,Downtown,444.94,11.84,51.6
2025-12-08 21:00:22.364876,Downtown,429.96,4.24,50.7
2025-12-08 22:00:22.364876,Downtown,415.62,1.39,49.3
2025-12-08 23:00:22.364876,Downtown,390.91,0.38,46.5
