timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-06 21:00:22.364876,Downtown,661.0,4.22,0.065
2025-12-06 22:00:22.364876,Downtown,500.2,4.76,0.068
2025-12-06 23:00:22.364876,Downtown,529.5,4.13,0.056
2025-12-07 00:00:22.364876,Downtown,559.2,4.81,0.003
2025-12-07 01:00:22.364876,Downtown,467.6,4.5,0.063
2025-12-07 02:00:22.364876,Downtown,477.2,4.63,0.028
2025-12-07 03:00:22.364876,Downtown,512.9,4.52,0.531
2025-12-07 04:00:22.364876,Downtown,489.1,4.2,0.026
2025-12-07 05:00:22.364876,Downtown,483.7,4.29,0.093
2025-12-07 06:00:22.364876,Downtown,694.1,4.61,0.097
2025-12-07 07:00:22.364876,Downtown,725.8,4.42,0.413
2025-12-07 08:00:22.364876,Downtown,702.8,4.32,0.091
2025-12-07 09:00:22.364876,Downtown,683.0,4.46,0.101
2025-12-07 10:00:22.364876,Downtown,511.8,4.27,0.187
2025-12-07 11:00:22.364876,Downtown,493.5,4.19,0.099
2025-12-07 12:00:22.364876,Downtown,479.5,4.41,0.042
2025-12-07 13:00:22.364876,Downtown,482.1,4.61,0.224
2025-12-07 14:00:22.364876,Downtown,484.8,4.94,0.157
2025-12-07 15:00:22.364876,Downtown,538.0,5.01,0.177
2025-12-07 16:00:22.364876,Downtown,512.9,4.52,0.026
2025-12-07 17:00:22.364876,Downtown,514.0,4.2,0.089
2025-12-07 18:00:22.364876,Downtown,614.7,3.72,0.038
2025-12-07 19:00:22.364876,Downtown,620.0,4.56,0.232
2025-12-07 20:00:22.364876,Downtown,689.7,4.42,0.287
2025-12-07 21:00:22.364876,Downtown,729.4,4.35,0.089
2025-12-07 22:00:22.364876,Downtown,468.8,4.42,0.167
2025-12-07 23:00:22.364876,Downtown,482.4,5.06,0.468
2025-12-08 00:00:22.364876,Downtown,478.5,4.37,0.188
2025-12-08 01:00:22.364876,Downtown,457.0,4.42,0.076
2025-12-08 02:00:22.364876,Downtown,512.1,5.11,0.052
2025-12-08 03:00:22.364876,Downtown,474.3,4.27,0.032
2025-12-08 04:00:22.364876,Downtown,518.1,4.71,0.269
2025-12-08 05:00:22.364876,Downtown,501.7,4.41,0.163
2025-12-08 06:00:22.364876,Downtown,750.5,4.01,0.072
2025-12-08 07:00:22.364876,Downtown,741.6,4.7,0.072
2025-12-08 08:00:22.364876,Downtown,694.3,4.16,0.012
2025-12-08 09:00:22.364876,Downtown,684.0,4.34,0.23
2025-12-08 10:00:22.364876,Downtown,532.3,4.37,0.206
2025-12-08 11:00:22.364876,Downtown,502.4,4.68,0.214
2025-12-08 12:00:22.364876,Downtown,487.3,4.01,0.201
2025-12-08 13:00:22.364876,Downtown,507.3,4.32,0.042
2025-12-08 14:00:22.364876,Downtown,518.7,4.53,0.131
2025-12-08 15:00:22.364876,Downtown,454.0,5.07,0.296
2025-12-08 16:00:22.364876,Downtown,547.0,4.89,0.134
2025-12-08 17:00:22.364876,Downtown,457.4,4.59,0.058
2025-12-08 18:00:22.364876,Downtown,612.3,4.17,0.234
2025-12-08 19:00:22.364876,Downtown,582.0,4.86,0.055
2025-12-08 20:00:22.364876,Downtown,559.3,4.34,0.142
2025-12-08 21:00:22.364876,Downtown,651.6,4.18,0.215
