timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-06 20:58:47.782272,Nariman Point,72.5,15.53,25.25,457.3
2025-12-06 21:58:47.782272,Nariman Point,73.7,18.85,32.84,436.0
2025-12-06 22:58:47.782272,Nariman Point,50.5,6.94,12.01,398.9
2025-12-06 23:58:47.782272,Nariman Point,58.6,14.04,30.39,404.2
2025-12-07 00:58:47.782272,Nariman Point,60.6,16.53,34.5,430.6
2025-12-07 01:58:47.782272,Nariman Point,71.8,15.81,30.25,425.2
2025-12-07 02:58:47.782272,Nariman Point,64.3,16.64,34.93,435.5
2025-12-07 03:58:47.782272,Nariman Point,64.9,16.32,24.07,417.0
2025-12-07 04:58:47.782272,Nariman Point,71.4,17.21,38.64,444.1
2025-12-07 05:58:47.782272,Nariman Point,70.7,18.96,40.19,457.4
2025-12-07 06:58:47.782272,Nariman Point,51.5,13.59,22.8,389.9
2025-12-07 07:58:47.782272,Nariman Point,93.4,22.13,42.2,441.8
2025-12-07 08:58:47.782272,Nariman Point,75.0,17.92,31.04,453.0
2025-12-07 09:58:47.782272,Nariman Point,79.0,18.59,35.63,454.9
2025-12-07 10:58:47.782272,Nariman Point,73.5,17.35,30.1,437.8
2025-12-07 11:58:47.782272,Nariman Point,69.7,18.2,33.24,462.0
2025-12-07 12:58:47.782272,Nariman Point,64.1,15.93,25.41,446.8
2025-12-07 13:58:47.782272,Nariman Point,61.4,17.71,30.43,442.5
2025-12-07 14:58:47.782272,Nariman Point,60.7,15.78,30.54,404.8
2025-12-07 15:58:47.782272,Nariman Point,68.5,14.86,30.24,469.3
2025-12-07 16:58:47.782272,Nariman Point,72.2,15.58,27.82,432.8
2025-12-07 17:58:47.782272,Nariman Point,72.8,17.48,33.97,440.2
2025-12-07 18:58:47.782272,Nariman Point,83.8,17.41,36.0,405.1
2025-12-07 19:58:47.782272,Nariman Point,72.9,17.11,35.09,422.3
2025-12-07 20:58:47.782272,Nariman Point,60.9,13.72,24.14,434.5
2025-12-07 21:58:47.782272,Nariman Point,53.0,9.64,17.21,419.1
2025-12-07 22:58:47.782272,Nariman Point,64.8,13.5,20.9,432.4
2025-12-07 23:58:47.782272,Nariman Point,63.2,17.39,30.19,426.0
2025-12-08 00:58:47.782272,Nariman Point,63.5,13.92,21.15,408.1
2025-12-08 01:58:47.782272,Nariman Point,73.7,14.69,32.5,407.4
2025-12-08 02:58:47.782272,Nariman Point,65.8,15.61,26.25,452.9
2025-12-08 03:58:47.782272,Nariman Point,68.0,17.83,32.79,450.0
