timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-06 20:58:47.782272,Nariman Point,447.25,6.84,50.0
2025-12-06 21:58:47.782272,Nariman Point,468.51,2.55,52.9
2025-12-06 22:58:47.782272,Nariman Point,456.13,0.8,51.7
2025-12-06 23:58:47.782272,Nariman Point,451.76,0.26,51.3
2025-12-07 00:58:47.782272,Nariman Point,425.21,0.0,48.3
2025-12-07 01:58:47.782272,Nariman Point,412.83,0.01,46.9
2025-12-07 02:58:47.782272,Nariman Point,428.0,0.07,48.6
2025-12-07 03:58:47.782272,Nariman Point,425.54,0.29,48.3
2025-12-07 04:58:47.782272,Nariman Point,447.07,1.15,50.7
2025-12-07 05:58:47.782272,Nariman Point,459.27,3.18,51.8
2025-12-07 06:58:47.782272,Nariman Point,456.87,8.12,51.0
2025-12-07 07:58:47.782272,Nariman Point,459.94,17.88,50.2
2025-12-07 08:58:47.782272,Nariman Point,857.51,37.42,93.2
2025-12-07 09:58:47.782272,Nariman Point,947.36,58.49,101.0
2025-12-07 10:58:47.782272,Nariman Point,817.23,90.38,82.6
2025-12-07 11:58:47.782272,Nariman Point,938.09,137.46,91.0
2025-12-07 12:58:47.782272,Nariman Point,896.38,178.11,81.6
2025-12-07 13:58:47.782272,Nariman Point,834.26,185.72,73.7
2025-12-07 14:58:47.782272,Nariman Point,870.32,178.81,78.6
2025-12-07 15:58:47.782272,Nariman Point,822.66,143.57,77.2
2025-12-07 16:58:47.782272,Nariman Point,879.57,99.17,88.7
2025-12-07 17:58:47.782272,Nariman Point,861.47,54.65,91.7
2025-12-07 18:58:47.782272,Nariman Point,884.89,34.7,96.6
2025-12-07 19:58:47.782272,Nariman Point,433.01,16.87,47.3
2025-12-07 20:58:47.782272,Nariman Point,421.66,7.22,47.1
2025-12-07 21:58:47.782272,Nariman Point,466.67,3.2,52.7
2025-12-07 22:58:47.782272,Nariman Point,423.9,1.09,48.0
2025-12-07 23:58:47.782272,Nariman Point,447.13,0.3,50.8
2025-12-08 00:58:47.782272,Nariman Point,466.3,0.0,53.0
2025-12-08 01:58:47.782272,Nariman Point,410.94,0.02,46.7
2025-12-08 02:58:47.782272,Nariman Point,383.84,0.11,43.6
2025-12-08 03:58:47.782272,Nariman Point,388.45,0.46,44.1
2025-12-08 04:58:47.782272,Nariman Point,439.85,1.2,49.8
2025-12-08 05:58:47.782272,Nariman Point,451.25,3.3,50.9
2025-12-08 06:58:47.782272,Nariman Point,392.83,9.41,43.6
2025-12-08 07:58:47.782272,Nariman Point,416.58,20.01,45.1
2025-12-08 08:58:47.782272,Nariman Point,891.41,43.24,96.4
2025-12-08 09:58:47.782272,Nariman Point,885.06,75.44,92.0
2025-12-08 10:58:47.782272,Nariman Point,937.88,141.59,90.5
2025-12-08 11:58:47.782272,Nariman Point,841.81,169.44,76.4
2025-12-08 12:58:47.782272,Nariman Point,889.3,202.3,78.1
2025-12-08 13:58:47.782272,Nariman Point,931.29,252.2,77.2
2025-12-08 14:58:47.782272,Nariman Point,871.71,208.46,75.4
2025-12-08 15:58:47.782272,Nariman Point,816.02,202.78,69.7
2025-12-08 16:58:47.782272,Nariman Point,828.0,144.27,77.7
2025-12-08 17:58:47.782272,Nariman Point,835.51,85.78,85.2
2025-12-08 18:58:47.782272,Nariman Point,906.42,40.72,98.4
2025-12-08 19:58:47.782272,Nariman Point,470.0,19.32,51.2
2025-12-08 20:58:47.782272,Nariman Point,453.28,10.48,50.3
2025-12-08 21:58:47.782272,Nariman Point,444.11,4.12,50.0
2025-12-08 22:58:47.782272,Nariman Point,465.14,1.34,52.7
2025-12-08 23:58:47.782272,Nariman Point,461.44,0.32,52.4
2025-12-09 00:58:47.782272,Nariman Point,434.43,0.0,49.4
2025-12-09 01:58:47.782272,Nariman Point,457.32,0.02,52.0
2025-12-09 02:58:47.782272,Nariman Point,441.3,0.1,50.1
2025-12-09 03:58:47.782272,Nariman Point,444.88,0.38,50.5
2025-12-09 04:58:47.782272,Nariman Point,429.08,1.35,48.6
2025-12-09 05:58:47.782272,Nariman Point,430.9,3.88,48.5
2025-12-09 06:58:47.782272,Nariman Point,441.71,11.22,48.9
2025-12-09 07:58:47.782272,Nariman Point,434.27,23.36,46.7
2025-12-09 08:58:47.782272,Nariman Point,968.69,44.29,105.0
2025-12-09 09:58:47.782272,Nariman Point,861.24,80.73,88.7
2025-12-09 10:58:47.782272,Nariman Point,974.52,141.17,94.7
2025-12-09 11:58:47.782272,Nariman Point,822.42,151.74,76.2
2025-12-09 12:58:47.782272,Nariman Point,970.74,197.27,87.9
2025-12-09 13:58:47.782272,Nariman Point,893.18,202.81,78.5
2025-12-09 14:58:47.782272,Nariman Point,822.15,191.36,71.7
2025-12-09 15:58:47.782272,Nariman Point,836.22,170.0,75.7
