timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-06 20:58:47.724886,Nariman Point,676.1,3.92,0.077
2025-12-06 21:58:47.724886,Nariman Point,641.0,4.94,0.109
2025-12-06 22:58:47.724886,Nariman Point,467.7,4.45,0.038
2025-12-06 23:58:47.724886,Nariman Point,430.9,3.85,0.023
2025-12-07 00:58:47.724886,Nariman Point,472.3,4.32,0.196
2025-12-07 01:58:47.724886,Nariman Point,514.6,4.59,0.071
2025-12-07 02:58:47.724886,Nariman Point,497.8,4.18,0.016
2025-12-07 03:58:47.724886,Nariman Point,510.8,4.43,0.082
2025-12-07 04:58:47.724886,Nariman Point,532.7,4.09,0.389
2025-12-07 05:58:47.724886,Nariman Point,502.0,4.51,0.229
2025-12-07 06:58:47.724886,Nariman Point,613.5,4.65,0.169
2025-12-07 07:58:47.724886,Nariman Point,788.9,4.99,0.132
2025-12-07 08:58:47.724886,Nariman Point,696.9,3.89,0.367
2025-12-07 09:58:47.724886,Nariman Point,654.4,4.51,0.063
2025-12-07 10:58:47.724886,Nariman Point,416.6,5.0,0.011
2025-12-07 11:58:47.724886,Nariman Point,555.5,4.54,0.063
2025-12-07 12:58:47.724886,Nariman Point,448.2,5.05,0.149
2025-12-07 13:58:47.724886,Nariman Point,498.2,4.43,0.29
2025-12-07 14:58:47.724886,Nariman Point,484.4,5.15,0.141
2025-12-07 15:58:47.724886,Nariman Point,473.6,4.33,0.233
2025-12-07 16:58:47.724886,Nariman Point,538.0,4.56,0.051
2025-12-07 17:58:47.724886,Nariman Point,454.5,4.22,0.105
2025-12-07 18:58:47.724886,Nariman Point,689.0,5.17,0.202
2025-12-07 19:58:47.724886,Nariman Point,651.9,4.02,0.382
2025-12-07 20:58:47.724886,Nariman Point,638.3,4.33,0.328
2025-12-07 21:58:47.724886,Nariman Point,682.7,4.39,0.085
2025-12-07 22:58:47.724886,Nariman Point,572.5,4.8,0.152
2025-12-07 23:58:47.724886,Nariman Point,504.2,4.71,0.15
2025-12-08 00:58:47.724886,Nariman Point,487.9,4.38,0.379
2025-12-08 01:58:47.724886,Nariman Point,484.2,4.3,0.122
2025-12-08 02:58:47.724886,Nariman Point,544.0,4.76,0.359
2025-12-08 03:58:47.724886,Nariman Point,498.2,4.36,0.321
2025-12-08 04:58:47.724886,Nariman Point,547.6,4.3,0.111
2025-12-08 05:58:47.724886,Nariman Point,463.4,4.75,0.096
2025-12-08 06:58:47.724886,Nariman Point,668.5,4.83,0.122
2025-12-08 07:58:47.724886,Nariman Point,593.8,4.6,0.064
2025-12-08 08:58:47.724886,Nariman Point,677.6,4.43,0.315
2025-12-08 09:58:47.724886,Nariman Point,753.0,4.56,0.066
2025-12-08 10:58:47.724886,Nariman Point,526.5,4.66,0.175
2025-12-08 11:58:47.724886,Nariman Point,529.7,4.73,0.241
2025-12-08 12:58:47.724886,Nariman Point,416.8,4.29,0.202
2025-12-08 13:58:47.724886,Nariman Point,503.6,3.86,0.171
2025-12-08 14:58:47.724886,Nariman Point,529.3,4.14,0.06
2025-12-08 15:58:47.724886,Nariman Point,469.1,4.49,0.115
2025-12-08 16:58:47.724886,Nariman Point,505.9,4.4,0.268
