timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-06 20:42:24.399653,Midtown,56.9,12.37,20.43,425.4
2025-12-06 21:42:24.399653,Midtown,49.7,8.37,18.09,423.5
2025-12-06 22:42:24.399653,Midtown,65.8,12.64,20.4,429.2
2025-12-06 23:42:24.399653,Midtown,61.8,13.91,26.56,440.0
2025-12-07 00:42:24.399653,Midtown,67.1,16.78,30.6,438.3
2025-12-07 01:42:24.399653,Midtown,50.4,10.7,19.42,419.2
2025-12-07 02:42:24.399653,Midtown,61.7,17.87,32.83,431.2
2025-12-07 03:42:24.399653,Midtown,62.9,15.42,27.44,438.4
2025-12-07 04:42:24.399653,Midtown,63.7,18.7,37.76,434.1
2025-12-07 05:42:24.399653,Midtown,57.5,12.85,26.61,420.1
2025-12-07 06:42:24.399653,Midtown,64.3,17.94,37.61,418.8
2025-12-07 07:42:24.399653,Midtown,81.3,17.64,31.47,458.0
2025-12-07 08:42:24.399653,Midtown,81.1,19.54,30.74,462.2
2025-12-07 09:42:24.399653,Midtown,77.0,20.81,39.8,447.1
2025-12-07 10:42:24.399653,Midtown,73.2,19.16,33.71,425.8
2025-12-07 11:42:24.399653,Midtown,67.6,18.22,30.43,426.1
2025-12-07 12:42:24.399653,Midtown,60.5,14.12,29.13,430.3
2025-12-07 13:42:24.399653,Midtown,62.6,13.32,21.08,420.6
2025-12-07 14:42:24.399653,Midtown,67.1,14.5,24.79,440.3
2025-12-07 15:42:24.399653,Midtown,70.1,16.03,29.33,416.6
2025-12-07 16:42:24.399653,Midtown,48.8,10.77,18.46,448.3
2025-12-07 17:42:24.399653,Midtown,55.8,12.92,21.22,438.6
2025-12-07 18:42:24.399653,Midtown,71.6,15.59,29.56,438.0
2025-12-07 19:42:24.399653,Midtown,63.8,18.18,39.91,415.8
2025-12-07 20:42:24.399653,Midtown,58.9,14.36,30.73,428.5
2025-12-07 21:42:24.399653,Midtown,60.4,12.13,21.8,426.3
2025-12-07 22:42:24.399653,Midtown,51.0,13.62,27.02,430.9
2025-12-07 23:42:24.399653,Midtown,68.6,14.86,25.28,413.7
2025-12-08 00:42:24.399653,Midtown,60.2,15.03,25.14,444.5
2025-12-08 01:42:24.399653,Midtown,58.2,14.71,25.98,424.5
2025-12-08 02:42:24.399653,Midtown,57.3,10.01,15.07,453.6
2025-12-08 03:42:24.399653,Midtown,67.4,17.04,30.87,424.3
2025-12-08 04:42:24.399653,Midtown,67.1,11.88,20.75,434.2
2025-12-08 05:42:24.399653,Midtown,60.1,16.41,31.89,455.3
2025-12-08 06:42:24.399653,Midtown,56.6,12.02,18.89,451.2
2025-12-08 07:42:24.399653,Midtown,78.2,17.36,36.0,456.8
2025-12-08 08:42:24.399653,Midtown,75.3,17.89,31.81,428.9
2025-12-08 09:42:24.399653,Midtown,77.0,18.28,35.76,439.9
2025-12-08 10:42:24.399653,Midtown,75.5,20.88,36.13,429.0
2025-12-08 11:42:24.399653,Midtown,50.4,12.99,22.84,427.7
2025-12-08 12:42:24.399653,Midtown,57.1,13.5,22.18,442.8
2025-12-08 13:42:24.399653,Midtown,65.0,14.85,24.13,420.1
2025-12-08 14:42:24.399653,Midtown,68.3,13.79,24.68,440.1
2025-12-08 15:42:24.399653,Midtown,61.3,14.84,23.45,430.7
2025-12-08 16:42:24.399653,Midtown,52.1,13.24,23.34,449.7
2025-12-08 17:42:24.399653,Midtown,78.7,19.59,37.31,433.7
2025-12-08 18:42:24.399653,Midtown,69.2,19.23,33.1,424.7
2025-12-08 19:42:24.399653,Midtown,66.3,15.36,30.76,431.4
2025-12-08 20:42:24.399653,Midtown,70.2,16.52,36.44,450.0
2025-12-08 21:42:24.399653,Midtown,54.8,13.76,27.25,426.6
2025-12-08 22:42:24.399653,Midtown,60.8,17.22,37.11,438.2
2025-12-08 23:42:24.399653,Midtown,69.7,15.86,32.58,445.4
2025-12-09 00:42:24.399653,Midtown,43.8,9.53,19.14,380.0
2025-12-09 01:42:24.399653,Midtown,55.8,11.46,18.36,415.7
2025-12-09 02:42:24.399653,Midtown,65.8,13.62,21.85,444.9
2025-12-09 03:42:24.399653,Midtown,57.7,14.61,27.03,419.7
2025-12-09 04:42:24.399653,Midtown,57.0,11.06,22.84,426.2
