timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-06 20:42:24.399653,Midtown,477.52,5.59,49.2
2025-12-06 21:42:24.399653,Midtown,480.41,2.09,49.8
2025-12-06 22:42:24.399653,Midtown,451.14,0.77,46.9
2025-12-06 23:42:24.399653,Midtown,497.43,0.21,51.8
2025-12-07 00:42:24.399653,Midtown,474.11,0.0,49.4
2025-12-07 01:42:24.399653,Midtown,483.51,0.01,50.4
2025-12-07 02:42:24.399653,Midtown,432.54,0.06,45.1
2025-12-07 03:42:24.399653,Midtown,474.95,0.22,49.5
2025-12-07 04:42:24.399653,Midtown,470.76,0.64,49.0
2025-12-07 05:42:24.399653,Midtown,459.73,1.99,47.7
2025-12-07 06:42:24.399653,Midtown,442.21,6.15,45.4
2025-12-07 07:42:24.399653,Midtown,509.31,13.25,51.7
2025-12-07 08:42:24.399653,Midtown,935.43,26.49,94.7
2025-12-07 09:42:24.399653,Midtown,1021.98,42.33,102.0
2025-12-07 10:42:24.399653,Midtown,824.75,56.0,80.1
2025-12-07 11:42:24.399653,Midtown,1024.56,90.33,97.3
2025-12-07 12:42:24.399653,Midtown,961.64,129.44,86.7
2025-12-07 13:42:24.399653,Midtown,1079.39,147.72,97.0
2025-12-07 14:42:24.399653,Midtown,898.84,118.32,81.3
2025-12-07 15:42:24.399653,Midtown,917.2,89.86,86.2
2025-12-07 16:42:24.399653,Midtown,964.51,68.24,93.4
2025-12-07 17:42:24.399653,Midtown,985.09,51.19,97.3
2025-12-07 18:42:24.399653,Midtown,984.33,25.83,99.8
2025-12-07 19:42:24.399653,Midtown,498.98,14.69,50.4
2025-12-07 20:42:24.399653,Midtown,464.33,5.15,47.8
2025-12-07 21:42:24.399653,Midtown,485.69,2.13,50.4
2025-12-07 22:42:24.399653,Midtown,497.02,0.72,51.7
2025-12-07 23:42:24.399653,Midtown,529.24,0.21,55.1
2025-12-08 00:42:24.399653,Midtown,493.88,0.0,51.4
2025-12-08 01:42:24.399653,Midtown,511.59,0.02,53.3
2025-12-08 02:42:24.399653,Midtown,455.72,0.08,47.5
2025-12-08 03:42:24.399653,Midtown,432.57,0.33,45.0
2025-12-08 04:42:24.399653,Midtown,490.82,0.91,51.0
2025-12-08 05:42:24.399653,Midtown,440.09,2.79,45.6
2025-12-08 06:42:24.399653,Midtown,472.72,6.3,48.6
2025-12-08 07:42:24.399653,Midtown,501.67,15.61,50.6
2025-12-08 08:42:24.399653,Midtown,879.08,36.64,87.8
2025-12-08 09:42:24.399653,Midtown,948.37,58.2,92.7
2025-12-08 10:42:24.399653,Midtown,1006.67,77.58,96.8
2025-12-08 11:42:24.399653,Midtown,1015.87,141.8,91.0
2025-12-08 12:42:24.399653,Midtown,953.09,153.05,83.3
2025-12-08 13:42:24.399653,Midtown,945.59,167.31,81.1
2025-12-08 14:42:24.399653,Midtown,880.09,139.68,77.1
2025-12-08 15:42:24.399653,Midtown,1070.79,141.82,96.8
2025-12-08 16:42:24.399653,Midtown,919.56,95.32,85.9
2025-12-08 17:42:24.399653,Midtown,1052.38,55.51,103.8
2025-12-08 18:42:24.399653,Midtown,998.19,33.13,100.5
2025-12-08 19:42:24.399653,Midtown,440.21,17.99,44.0
2025-12-08 20:42:24.399653,Midtown,445.0,6.51,45.7
2025-12-08 21:42:24.399653,Midtown,458.49,2.24,47.5
2025-12-08 22:42:24.399653,Midtown,486.86,0.96,50.6
2025-12-08 23:42:24.399653,Midtown,465.68,0.25,48.5
2025-12-09 00:42:24.399653,Midtown,464.81,0.0,48.4
2025-12-09 01:42:24.399653,Midtown,464.73,0.02,48.4
2025-12-09 02:42:24.399653,Midtown,463.24,0.06,48.2
2025-12-09 03:42:24.399653,Midtown,445.11,0.29,46.3
2025-12-09 04:42:24.399653,Midtown,523.0,1.07,54.4
2025-12-09 05:42:24.399653,Midtown,443.49,2.59,45.9
2025-12-09 06:42:24.399653,Midtown,492.5,7.78,50.5
2025-12-09 07:42:24.399653,Midtown,460.75,15.93,46.3
2025-12-09 08:42:24.399653,Midtown,912.1,34.2,91.4
2025-12-09 09:42:24.399653,Midtown,888.18,49.99,87.3
2025-12-09 10:42:24.399653,Midtown,911.49,114.36,83.0
2025-12-09 11:42:24.399653,Midtown,896.85,155.49,77.2
2025-12-09 12:42:24.399653,Midtown,937.0,140.43,83.0
2025-12-09 13:42:24.399653,Midtown,1025.1,161.11,90.0
2025-12-09 14:42:24.399653,Midtown,887.2,123.11,79.6
2025-12-09 15:42:24.399653,Midtown,991.07,148.87,87.7
2025-12-09 16:42:24.399653,Midtown,897.35,104.47,82.6
2025-12-09 17:42:24.399653,Midtown,964.7,70.1,93.2
2025-12-09 18:42:24.399653,Midtown,881.77,26.18,89.1
2025-12-09 19:42:24.399653,Midtown,435.57,19.09,43.4
2025-12-09 20:42:24.399653,Midtown,456.04,6.32,46.8
