timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-06 20:42:24.399653,Midtown,652.5,4.31,0.041
2025-12-06 21:42:24.399653,Midtown,723.7,4.18,0.349
2025-12-06 22:42:24.399653,Midtown,499.8,4.03,0.385
2025-12-06 23:42:24.399653,Midtown,571.0,4.37,0.237
2025-12-07 00:42:24.399653,Midtown,520.6,4.17,0.254
2025-12-07 01:42:24.399653,Midtown,519.2,4.56,0.043
2025-12-07 02:42:24.399653,Midtown,489.2,4.15,0.136
2025-12-07 03:42:24.399653,Midtown,518.4,4.26,0.024
2025-12-07 04:42:24.399653,Midtown,474.4,4.89,0.235
2025-12-07 05:42:24.399653,Midtown,559.6,4.59,0.153
2025-12-07 06:42:24.399653,Midtown,648.2,4.54,0.394
2025-12-07 07:42:24.399653,Midtown,714.2,4.49,0.17
2025-12-07 08:42:24.399653,Midtown,633.0,4.23,0.215
2025-12-07 09:42:24.399653,Midtown,572.1,4.47,0.142
2025-12-07 10:42:24.399653,Midtown,469.1,4.11,0.184
2025-12-07 11:42:24.399653,Midtown,569.5,4.19,0.09
2025-12-07 12:42:24.399653,Midtown,499.5,4.64,0.204
2025-12-07 13:42:24.399653,Midtown,504.0,4.75,0.203
2025-12-07 14:42:24.399653,Midtown,460.5,4.66,0.131
2025-12-07 15:42:24.399653,Midtown,482.9,4.52,0.083
2025-12-07 16:42:24.399653,Midtown,420.6,4.55,0.15
2025-12-07 17:42:24.399653,Midtown,538.4,4.56,0.151
2025-12-07 18:42:24.399653,Midtown,650.3,3.58,0.124
2025-12-07 19:42:24.399653,Midtown,774.6,4.8,0.211
2025-12-07 20:42:24.399653,Midtown,687.5,4.36,0.251
2025-12-07 21:42:24.399653,Midtown,693.9,4.79,0.017
2025-12-07 22:42:24.399653,Midtown,517.1,4.52,0.562
2025-12-07 23:42:24.399653,Midtown,528.4,3.88,0.177
2025-12-08 00:42:24.399653,Midtown,550.1,4.87,0.334
2025-12-08 01:42:24.399653,Midtown,487.9,4.45,0.046
2025-12-08 02:42:24.399653,Midtown,484.1,4.3,0.179
2025-12-08 03:42:24.399653,Midtown,551.4,4.39,0.271
2025-12-08 04:42:24.399653,Midtown,472.5,4.46,0.097
2025-12-08 05:42:24.399653,Midtown,510.7,4.11,0.365
2025-12-08 06:42:24.399653,Midtown,738.8,4.48,0.315
