timestamp,zone,aqi,pm25,pm10,co2_ppm
2025-12-06 21:37:39.478191,Altstadt,35.6,10.22,24.24,397.4
2025-12-06 22:37:39.478191,Altstadt,56.1,10.71,18.95,438.2
2025-12-06 23:37:39.478191,Altstadt,51.1,8.73,12.86,435.5
2025-12-07 00:37:39.478191,Altstadt,57.2,13.34,23.47,452.2
2025-12-07 01:37:39.478191,Altstadt,36.3,7.13,15.28,438.6
2025-12-07 02:37:39.478191,Altstadt,43.8,12.42,24.07,404.4
2025-12-07 03:37:39.478191,Altstadt,44.5,9.49,15.75,432.5
2025-12-07 04:37:39.478191,Altstadt,55.3,12.66,21.55,432.2
2025-12-07 05:37:39.478191,Altstadt,51.1,12.2,28.44,436.6
2025-12-07 06:37:39.478191,Altstadt,53.9,10.87,13.08,438.4
2025-12-07 07:37:39.478191,Altstadt,75.0,16.51,29.68,454.3
2025-12-07 08:37:39.478191,Altstadt,65.2,13.24,26.81,412.7
2025-12-07 09:37:39.478191,Altstadt,58.3,11.18,19.27,442.7
2025-12-07 10:37:39.478191,Altstadt,44.2,11.13,24.4,437.4
2025-12-07 11:37:39.478191,Altstadt,37.7,8.2,13.08,450.6
2025-12-07 12:37:39.478191,Altstadt,38.6,10.92,19.58,427.2
2025-12-07 13:37:39.478191,Altstadt,56.0,15.57,30.2,428.7
2025-12-07 14:37:39.478191,Altstadt,47.6,11.16,19.98,416.4
2025-12-07 15:37:39.478191,Altstadt,52.7,13.17,23.52,424.4
2025-12-07 16:37:39.478191,Altstadt,60.6,14.07,24.88,432.0
2025-12-07 17:37:39.478191,Altstadt,56.3,14.82,29.31,409.6
2025-12-07 18:37:39.478191,Altstadt,65.8,15.37,31.03,445.0
2025-12-07 19:37:39.478191,Altstadt,70.9,18.53,32.52,423.7
2025-12-07 20:37:39.478191,Altstadt,50.2,11.35,19.15,404.7
2025-12-07 21:37:39.478191,Altstadt,61.0,12.72,22.66,427.5
2025-12-07 22:37:39.478191,Altstadt,52.1,12.12,19.66,438.4
2025-12-07 23:37:39.478191,Altstadt,44.9,9.68,17.82,411.0
2025-12-08 00:37:39.478191,Altstadt,67.7,19.05,34.96,428.2
2025-12-08 01:37:39.478191,Altstadt,47.4,12.91,21.04,422.4
2025-12-08 02:37:39.478191,Altstadt,53.5,14.44,28.53,434.2
2025-12-08 03:37:39.478191,Altstadt,44.5,7.31,10.7,424.2
2025-12-08 04:37:39.478191,Altstadt,40.5,12.07,19.72,405.8
2025-12-08 05:37:39.478191,Altstadt,44.6,10.4,18.94,424.8
2025-12-08 06:37:39.478191,Altstadt,54.2,11.72,25.06,426.4
2025-12-08 07:37:39.478191,Altstadt,64.1,11.81,21.95,418.5
2025-12-08 08:37:39.478191,Altstadt,74.6,18.27,32.09,432.3
2025-12-08 09:37:39.478191,Altstadt,73.7,17.49,30.13,454.7
2025-12-08 10:37:39.478191,Altstadt,43.0,6.59,13.69,412.9
2025-12-08 11:37:39.478191,Altstadt,50.4,9.43,15.66,411.2
2025-12-08 12:37:39.478191,Altstadt,56.4,15.48,29.07,413.8
2025-12-08 13:37:39.478191,Altstadt,47.2,10.62,17.74,429.7
2025-12-08 14:37:39.478191,Altstadt,57.4,14.09,26.17,411.1
2025-12-08 15:37:39.478191,Altstadt,43.2,11.62,24.47,426.9
2025-12-08 16:37:39.478191,Altstadt,51.0,11.16,21.8,456.4
2025-12-08 17:37:39.478191,Altstadt,67.6,19.34,34.22,446.1
2025-12-08 18:37:39.478191,Altstadt,62.9,14.57,31.21,426.9
2025-12-08 19:37:39.478191,Altstadt,70.8,16.88,35.93,428.9
2025-12-08 20:37:39.478191,Altstadt,47.7,9.94,14.09,416.1
2025-12-08 21:37:39.478191,Altstadt,58.7,16.02,29.56,416.4
