timestamp,zone,consumption_kwh,solar_generation_kwh,grid_load_pct
2025-12-06 21:37:39.478191,Altstadt,525.12,1.67,53.6
2025-12-06 22:37:39.478191,Altstadt,528.36,0.68,54.1
2025-12-06 23:37:39.478191,Altstadt,455.45,0.2,46.6
2025-12-07 00:37:39.478191,Altstadt,423.96,0.0,43.4
2025-12-07 01:37:39.478191,Altstadt,464.58,0.01,47.6
2025-12-07 02:37:39.478191,Altstadt,501.09,0.05,51.3
2025-12-07 03:37:39.478191,Altstadt,507.54,0.18,52.0
2025-12-07 04:37:39.478191,Altstadt,550.63,0.61,56.4
2025-12-07 05:37:39.478191,Altstadt,477.56,1.85,48.7
2025-12-07 06:37:39.478191,Altstadt,473.25,4.74,48.0
2025-12-07 07:37:39.478191,Altstadt,485.08,12.32,48.4
2025-12-07 08:37:39.478191,Altstadt,1001.45,16.83,100.9
2025-12-07 09:37:39.478191,Altstadt,935.74,46.05,91.2
2025-12-07 10:37:39.478191,Altstadt,1001.59,53.66,97.1
2025-12-07 11:37:39.478191,Altstadt,1015.11,84.26,95.4
2025-12-07 12:37:39.478191,Altstadt,1035.26,96.67,96.2
2025-12-07 13:37:39.478191,Altstadt,1017.14,109.87,93.0
2025-12-07 14:37:39.478191,Altstadt,1049.38,121.7,95.0
2025-12-07 15:37:39.478191,Altstadt,948.15,96.35,87.3
2025-12-07 16:37:39.478191,Altstadt,970.66,62.14,93.1
2025-12-07 17:37:39.478191,Altstadt,939.29,42.75,91.9
2025-12-07 18:37:39.478191,Altstadt,987.93,25.95,98.6
2025-12-07 19:37:39.478191,Altstadt,442.3,10.54,44.2
2025-12-07 20:37:39.478191,Altstadt,494.37,5.41,50.1
2025-12-07 21:37:39.478191,Altstadt,508.83,1.92,51.9
2025-12-07 22:37:39.478191,Altstadt,505.74,0.48,51.8
2025-12-07 23:37:39.478191,Altstadt,495.6,0.22,50.8
2025-12-08 00:37:39.478191,Altstadt,492.86,0.0,50.5
2025-12-08 01:37:39.478191,Altstadt,469.16,0.02,48.1
2025-12-08 02:37:39.478191,Altstadt,505.36,0.05,51.8
2025-12-08 03:37:39.478191,Altstadt,492.0,0.28,50.4
2025-12-08 04:37:39.478191,Altstadt,508.61,0.96,52.0
2025-12-08 05:37:39.478191,Altstadt,529.59,2.36,54.0
2025-12-08 06:37:39.478191,Altstadt,482.41,6.51,48.8
2025-12-08 07:37:39.478191,Altstadt,462.63,14.52,45.9
2025-12-08 08:37:39.478191,Altstadt,1021.53,32.35,101.3
2025-12-08 09:37:39.478191,Altstadt,965.19,53.08,93.5
2025-12-08 10:37:39.478191,Altstadt,976.81,87.85,91.1
2025-12-08 11:37:39.478191,Altstadt,957.22,105.55,87.3
2025-12-08 12:37:39.478191,Altstadt,1013.85,146.52,88.9
2025-12-08 13:37:39.478191,Altstadt,1002.6,138.57,88.5
2025-12-08 14:37:39.478191,Altstadt,979.12,167.22,83.2
2025-12-08 15:37:39.478191,Altstadt,983.21,104.57,90.0
2025-12-08 16:37:39.478191,Altstadt,1010.21,81.95,95.1
2025-12-08 17:37:39.478191,Altstadt,948.19,42.51,92.8
2025-12-08 18:37:39.478191,Altstadt,971.21,32.25,96.2
2025-12-08 19:37:39.478191,Altstadt,429.01,16.43,42.3
2025-12-08 20:37:39.478191,Altstadt,454.47,6.95,45.9
2025-12-08 21:37:39.478191,Altstadt,493.31,2.09,50.3
2025-12-08 22:37:39.478191,Altstadt,482.91,0.96,49.4
2025-12-08 23:37:39.478191,Altstadt,438.58,0.25,44.9
2025-12-09 00:37:39.478191,Altstadt,453.47,0.0,46.5
2025-12-09 01:37:39.478191,Altstadt,529.23,0.01,54.2
2025-12-09 02:37:39.478191,Altstadt,486.97,0.07,49.9
