timestamp,zone,vehicle_count,avg_speed_kmh,congestion_index,is_anomaly
2025-12-06 21:37:39.478191,Altstadt,339.3,51.5,0.446,False
2025-12-06 22:37:39.478191,Altstadt,328.2,49.2,0.432,False
2025-12-06 23:37:39.478191,Altstadt,327.4,49.7,0.431,False
2025-12-07 00:37:39.478191,Altstadt,333.9,52.8,0.439,False
2025-12-07 01:37:39.478191,Altstadt,374.1,49.4,0.492,False
2025-12-07 02:37:39.478191,Altstadt,348.9,56.1,0.459,False
2025-12-07 03:37:39.478191,Altstadt,342.8,49.1,0.451,False
2025-12-07 04:37:39.478191,Altstadt,326.8,52.8,0.43,False
2025-12-07 05:37:39.478191,Altstadt,288.3,52.1,0.379,False
2025-12-07 06:37:39.478191,Altstadt,297.4,47.8,0.391,False
2025-12-07 07:37:39.478191,Altstadt,409.4,45.9,0.539,False
2025-12-07 08:37:39.478191,Altstadt,524.0,45.2,0.689,False
2025-12-07 09:37:39.478191,Altstadt,497.1,36.5,0.654,False
2025-12-07 10:37:39.478191,Altstadt,309.0,56.5,0.407,False
2025-12-07 11:37:39.478191,Altstadt,326.3,48.9,0.429,False
2025-12-07 12:37:39.478191,Altstadt,348.4,43.4,0.458,False
2025-12-07 13:37:39.478191,Altstadt,327.5,49.8,0.431,False
2025-12-07 14:37:39.478191,Altstadt,361.7,43.6,0.476,False
2025-12-07 15:37:39.478191,Altstadt,351.9,52.9,0.463,False
2025-12-07 16:37:39.478191,Altstadt,328.9,47.2,0.433,False
2025-12-07 17:37:39.478191,Altstadt,496.7,40.4,0.653,False
2025-12-07 18:37:39.478191,Altstadt,506.4,34.4,0.666,False
2025-12-07 19:37:39.478191,Altstadt,481.2,42.2,0.633,False
2025-12-07 20:37:39.478191,Altstadt,312.3,43.0,0.411,False
2025-12-07 21:37:39.478191,Altstadt,343.3,46.6,0.452,False
2025-12-07 22:37:39.478191,Altstadt,328.1,49.2,0.432,False
2025-12-07 23:37:39.478191,Altstadt,361.9,52.4,0.476,False
2025-12-08 00:37:39.478191,Altstadt,503.9,35.2,0.663,False
2025-12-08 01:37:39.478191,Altstadt,427.1,46.9,0.562,False
2025-12-08 02:37:39.478191,Altstadt,488.6,43.3,0.643,False
2025-12-08 03:37:39.478191,Altstadt,439.3,41.4,0.578,False
2025-12-08 04:37:39.478191,Altstadt,539.5,42.7,0.71,False
2025-12-08 05:37:39.478191,Altstadt,527.8,42.9,0.694,True
2025-12-08 06:37:39.478191,Altstadt,525.8,39.9,0.692,False
2025-12-08 07:37:39.478191,Altstadt,820.6,26.2,1.0,False
2025-12-08 08:37:39.478191,Altstadt,745.0,26.1,0.98,False
2025-12-08 09:37:39.478191,Altstadt,786.9,32.0,1.0,False
2025-12-08 10:37:39.478191,Altstadt,458.3,44.1,0.603,False
2025-12-08 11:37:39.478191,Altstadt,539.3,41.2,0.71,False
2025-12-08 12:37:39.478191,Altstadt,503.1,48.6,0.662,False
2025-12-08 13:37:39.478191,Altstadt,426.9,46.1,0.562,False
2025-12-08 14:37:39.478191,Altstadt,462.4,43.1,0.608,False
2025-12-08 15:37:39.478191,Altstadt,498.9,48.1,0.656,False
2025-12-08 16:37:39.478191,Altstadt,485.8,40.2,0.639,False
2025-12-08 17:37:39.478191,Altstadt,782.7,30.5,1.0,False
2025-12-08 18:37:39.478191,Altstadt,689.6,28.2,0.907,False
2025-12-08 19:37:39.478191,Altstadt,816.9,28.9,1.0,False
2025-12-08 20:37:39.478191,Altstadt,462.5,42.1,0.609,False
2025-12-08 21:37:39.478191,Altstadt,452.8,49.6,0.596,False
2025-12-08 22:37:39.478191,Altstadt,471.8,39.1,0.621,False
2025-12-08 23:37:39.478191,Altstadt,497.6,39.5,0.655,False
2025-12-09 00:37:39.478191,Altstadt,503.4,43.1,0.662,False
2025-12-09 01:37:39.478191,Altstadt,490.4,40.9,0.645,False
2025-12-09 02:37:39.478191,Altstadt,426.6,44.5,0.561,False
2025-12-09 03:37:39.478191,Altstadt,483.5,49.6,0.636,False
2025-12-09 04:37:39.478191,Altstadt,409.0,48.5,0.538,True
2025-12-09 05:37:39.478191,Altstadt,466.2,40.8,0.613,False
2025-12-09 06:37:39.478191,Altstadt,478.2,49.6,0.629,False
2025-12-09 07:37:39.478191,Altstadt,735.3,28.2,0.968,False
2025-12-09 08:37:39.478191,Altstadt,815.5,28.8,1.0,False
2025-12-09 09:37:39.478191,Altstadt,732.5,31.7,0.964,False
2025-12-09 10:37:39.478191,Altstadt,459.4,41.4,0.604,False
2025-12-09 11:37:39.478191,Altstadt,467.6,47.0,0.615,False
2025-12-09 12:37:39.478191,Altstadt,438.7,45.0,0.577,False
2025-12-09 13:37:39.478191,Altstadt,446.6,43.8,0.588,False
2025-12-09 14:37:39.478191,Altstadt,468.8,41.2,0.617,False
2025-12-09 15:37:39.478191,Altstadt,512.1,46.7,0.674,False
2025-12-09 16:37:39.478191,Altstadt,487.3,38.8,0.641,False
2025-12-09 17:37:39.478191,Altstadt,707.2,34.3,0.93,False
2025-12-09 18:37:39.478191,Altstadt,732.9,28.3,0.964,False
2025-12-09 19:37:39.478191,Altstadt,713.8,29.5,0.939,False
2025-12-09 20:37:39.478191,Altstadt,440.2,35.1,0.579,False
2025-12-09 21:37:39.478191,Altstadt,430.6,50.4,0.567,False
2025-12-09 22:37:39.478191,Altstadt,495.8,38.4,0.652,False
2025-12-09 23:37:39.478191,Altstadt,532.6,42.1,0.701,False
2025-12-10 00:37:39.478191,Altstadt,486.7,41.8,0.64,False
2025-12-10 01:37:39.478191,Altstadt,537.3,35.0,0.707,False
2025-12-10 02:37:39.478191,Altstadt,434.5,48.0,0.572,False
2025-12-10 03:37:39.478191,Altstadt,494.1,48.8,0.65,False
2025-12-10 04:37:39.478191,Altstadt,517.7,41.2,0.681,False
2025-12-10 05:37:39.478191,Altstadt,504.6,38.6,0.664,False
2025-12-10 06:37:39.478191,Altstadt,478.1,42.2,0.629,False
2025-12-10 07:37:39.478191,Altstadt,714.1,26.6,0.94,False
2025-12-10 08:37:39.478191,Altstadt,857.1,26.2,1.0,False
2025-12-10 09:37:39.478191,Altstadt,868.4,28.0,1.0,False
2025-12-10 10:37:39.478191,Altstadt,460.7,39.8,0.606,False
2025-12-10 11:37:39.478191,Altstadt,462.2,46.5,0.608,False
2025-12-10 12:37:39.478191,Altstadt,511.1,42.3,0.672,False
2025-12-10 13:37:39.478191,Altstadt,453.9,43.5,0.597,False
2025-12-10 14:37:39.478191,Altstadt,453.9,44.2,0.597,False
2025-12-10 15:37:39.478191,Altstadt,520.0,36.8,0.684,False
2025-12-10 16:37:39.478191,Altstadt,476.8,40.5,0.627,False
2025-12-10 17:37:39.478191,Altstadt,771.7,33.0,1.0,False
2025-12-10 18:37:39.478191,Altstadt,725.8,33.4,0.955,False
2025-12-10 19:37:39.478191,Altstadt,681.9,35.9,0.897,False
2025-12-10 20:37:39.478191,Altstadt,488.0,42.0,0.642,False
2025-12-10 21:37:39.478191,Altstadt,432.2,47.6,0.569,False
2025-12-10 22:37:39.478191,Altstadt,532.2,36.8,0.7,False
2025-12-10 23:37:39.478191,Altstadt,491.3,41.3,0.646,False
2025-12-11 00:37:39.478191,Altstadt,487.9,44.7,0.642,False
2025-12-11 01:37:39.478191,Altstadt,526.5,44.8,0.693,False
2025-12-11 02:37:39.478191,Altstadt,487.1,43.0,0.641,False
2025-12-11 03:37:39.478191,Altstadt,502.8,38.2,0.662,False
2025-12-11 04:37:39.478191,Altstadt,500.8,40.9,0.659,False
2025-12-11 05:37:39.478191,Altstadt,466.6,42.4,0.614,False
2025-12-11 06:37:39.478191,Altstadt,469.7,42.1,0.618,False
2025-12-11 07:37:39.478191,Altstadt,744.1,33.2,0.979,False
2025-12-11 08:37:39.478191,Altstadt,732.9,29.8,0.964,False
2025-12-11 09:37:39.478191,Altstadt,801.3,21.8,1.0,False
2025-12-11 10:37:39.478191,Altstadt,534.5,41.3,0.703,False
2025-12-11 11:37:39.478191,Altstadt,475.2,43.2,0.625,False
2025-12-11 12:37:39.478191,Altstadt,495.0,42.2,0.651,False
2025-12-11 13:37:39.478191,Altstadt,476.6,42.4,0.627,False
2025-12-11 14:37:39.478191,Altstadt,379.9,47.5,0.5,False
2025-12-11 15:37:39.478191,Altstadt,537.5,35.8,0.707,False
2025-12-11 16:37:39.478191,Altstadt,521.8,38.2,0.687,False
2025-12-11 17:37:39.478191,Altstadt,719.5,29.0,0.947,False
2025-12-11 18:37:39.478191,Altstadt,676.5,32.4,0.89,False
2025-12-11 19:37:39.478191,Altstadt,744.1,29.2,0.979,False
2025-12-11 20:37:39.478191,Altstadt,438.7,43.8,0.577,False
2025-12-11 21:37:39.478191,Altstadt,532.8,43.1,0.701,False
2025-12-11 22:37:39.478191,Altstadt,453.9,48.0,0.597,False
2025-12-11 23:37:39.478191,Altstadt,409.0,45.7,0.538,False
2025-12-12 00:37:39.478191,Altstadt,489.4,36.6,0.644,False
2025-12-12 01:37:39.478191,Altstadt,479.6,45.3,0.631,False
2025-12-12 02:37:39.478191,Altstadt,461.9,45.1,0.608,False
2025-12-12 03:37:39.478191,Altstadt,481.8,43.9,0.634,False
2025-12-12 04:37:39.478191,Altstadt,447.7,43.5,0.589,False
2025-12-12 05:37:39.478191,Altstadt,516.1,39.1,0.679,False
2025-12-12 06:37:39.478191,Altstadt,436.8,42.2,0.575,False
2025-12-12 07:37:39.478191,Altstadt,792.3,21.2,1.0,False
2025-12-12 08:37:39.478191,Altstadt,731.6,29.4,0.963,False
2025-12-12 09:37:39.478191,Altstadt,789.2,28.6,1.0,False
2025-12-12 10:37:39.478191,Altstadt,496.7,39.3,0.654,False
2025-12-12 11:37:39.478191,Altstadt,541.7,33.4,0.713,False
2025-12-12 12:37:39.478191,Altstadt,421.6,51.1,0.555,False
2025-12-12 13:37:39.478191,Altstadt,445.9,42.5,0.587,False
2025-12-12 14:37:39.478191,Altstadt,499.3,38.6,0.657,False
2025-12-12 15:37:39.478191,Altstadt,438.9,46.2,0.578,False
2025-12-12 16:37:39.478191,Altstadt,455.9,41.3,0.6,False
2025-12-12 17:37:39.478191,Altstadt,811.9,26.8,1.0,False
2025-12-12 18:37:39.478191,Altstadt,793.0,23.9,1.0,False
2025-12-12 19:37:39.478191,Altstadt,716.6,28.6,0.943,False
2025-12-12 20:37:39.478191,Altstadt,448.1,46.2,0.59,False
2025-12-12 21:37:39.478191,Altstadt,493.7,42.9,0.65,False
2025-12-12 22:37:39.478191,Altstadt,522.9,39.5,0.688,False
2025-12-12 23:37:39.478191,Altstadt,508.6,38.0,0.669,False
2025-12-13 00:37:39.478191,Altstadt,308.3,55.1,0.406,False
2025-12-13 01:37:39.478191,Altstadt,371.6,52.3,0.489,False
2025-12-13 02:37:39.478191,Altstadt,366.2,44.0,0.482,False
2025-12-13 03:37:39.478191,Altstadt,323.8,47.1,0.426,False
2025-12-13 04:37:39.478191,Altstadt,308.1,54.7,0.405,False
2025-12-13 05:37:39.478191,Altstadt,348.0,49.5,0.458,False
2025-12-13 06:37:39.478191,Altstadt,326.7,45.4,0.43,False
2025-12-13 07:37:39.478191,Altstadt,604.5,31.0,0.795,False
2025-12-13 08:37:39.478191,Altstadt,544.3,43.7,0.716,False
2025-12-13 09:37:39.478191,Altstadt,590.2,36.7,0.777,False
2025-12-13 10:37:39.478191,Altstadt,319.6,52.1,0.42,False
2025-12-13 11:37:39.478191,Altstadt,319.5,46.7,0.42,False
2025-12-13 12:37:39.478191,Altstadt,266.6,54.2,0.351,False
2025-12-13 13:37:39.478191,Altstadt,328.8,44.5,0.433,False
2025-12-13 14:37:39.478191,Altstadt,322.6,53.5,0.424,True
2025-12-13 15:37:39.478191,Altstadt,277.5,50.1,0.365,False
2025-12-13 16:37:39.478191,Altstadt,320.6,51.8,0.422,False
2025-12-13 17:37:39.478191,Altstadt,509.1,36.9,0.67,False
2025-12-13 18:37:39.478191,Altstadt,443.2,43.5,0.583,False
2025-12-13 19:37:39.478191,Altstadt,477.9,43.6,0.629,False
2025-12-13 20:37:39.478191,Altstadt,340.5,52.7,0.448,False
2025-12-13 21:37:39.478191,Altstadt,402.3,45.2,0.529,False
2025-12-13 22:37:39.478191,Altstadt,328.3,45.9,0.432,False
2025-12-13 23:37:39.478191,Altstadt,319.3,45.5,0.42,False
2025-12-14 00:37:39.478191,Altstadt,323.7,48.6,0.426,False
2025-12-14 01:37:39.478191,Altstadt,318.1,51.3,0.419,False
