timestamp,zone,usage_liters,pressure_bar,pipe_leak_risk
2025-12-06 21:37:39.478191,Altstadt,639.5,4.6,0.064
2025-12-06 22:37:39.478191,Altstadt,465.4,5.06,0.45
2025-12-06 23:37:39.478191,Altstadt,468.3,4.68,0.149
2025-12-07 00:37:39.478191,Altstadt,565.4,4.57,0.153
2025-12-07 01:37:39.478191,Altstadt,484.4,4.27,0.029
2025-12-07 02:37:39.478191,Altstadt,576.4,4.75,0.341
2025-12-07 03:37:39.478191,Altstadt,507.6,4.52,0.161
2025-12-07 04:37:39.478191,Altstadt,446.3,4.21,0.166
2025-12-07 05:37:39.478191,Altstadt,552.9,4.47,0.277
2025-12-07 06:37:39.478191,Altstadt,673.0,3.98,0.27
2025-12-07 07:37:39.478191,Altstadt,712.5,4.71,0.376
2025-12-07 08:37:39.478191,Altstadt,689.7,4.21,0.197
2025-12-07 09:37:39.478191,Altstadt,766.5,4.21,0.165
2025-12-07 10:37:39.478191,Altstadt,551.1,3.83,0.233
2025-12-07 11:37:39.478191,Altstadt,473.4,4.59,0.062
2025-12-07 12:37:39.478191,Altstadt,470.4,4.18,0.032
2025-12-07 13:37:39.478191,Altstadt,514.9,4.04,0.366
2025-12-07 14:37:39.478191,Altstadt,464.9,3.9,0.145
2025-12-07 15:37:39.478191,Altstadt,472.3,4.36,0.435
2025-12-07 16:37:39.478191,Altstadt,573.3,4.32,0.228
2025-12-07 17:37:39.478191,Altstadt,489.5,4.26,0.145
2025-12-07 18:37:39.478191,Altstadt,660.0,4.24,0.34
2025-12-07 19:37:39.478191,Altstadt,719.2,4.55,0.137
2025-12-07 20:37:39.478191,Altstadt,629.6,4.39,0.195
2025-12-07 21:37:39.478191,Altstadt,744.7,4.7,0.158
2025-12-07 22:37:39.478191,Altstadt,463.9,4.09,0.249
2025-12-07 23:37:39.478191,Altstadt,533.7,4.32,0.23
2025-12-08 00:37:39.478191,Altstadt,517.8,4.76,0.082
2025-12-08 01:37:39.478191,Altstadt,467.9,4.34,0.096
2025-12-08 02:37:39.478191,Altstadt,480.4,4.66,0.096
2025-12-08 03:37:39.478191,Altstadt,484.5,4.68,0.335
2025-12-08 04:37:39.478191,Altstadt,567.2,4.64,0.037
2025-12-08 05:37:39.478191,Altstadt,451.3,4.63,0.276
2025-12-08 06:37:39.478191,Altstadt,728.1,4.49,0.174
2025-12-08 07:37:39.478191,Altstadt,723.6,4.22,0.082
2025-12-08 08:37:39.478191,Altstadt,717.0,4.0,0.018
2025-12-08 09:37:39.478191,Altstadt,667.4,4.6,0.177
2025-12-08 10:37:39.478191,Altstadt,477.0,4.66,0.045
2025-12-08 11:37:39.478191,Altstadt,465.7,4.55,0.242
2025-12-08 12:37:39.478191,Altstadt,516.2,3.93,0.047
2025-12-08 13:37:39.478191,Altstadt,482.6,4.25,0.177
2025-12-08 14:37:39.478191,Altstadt,505.7,4.86,0.101
2025-12-08 15:37:39.478191,Altstadt,426.2,4.86,0.232
2025-12-08 16:37:39.478191,Altstadt,507.5,4.29,0.108
2025-12-08 17:37:39.478191,Altstadt,470.7,3.96,0.275
2025-12-08 18:37:39.478191,Altstadt,640.6,4.1,0.118
2025-12-08 19:37:39.478191,Altstadt,706.7,4.28,0.29
2025-12-08 20:37:39.478191,Altstadt,672.9,4.51,0.189
2025-12-08 21:37:39.478191,Altstadt,697.3,5.07,0.149
2025-12-08 22:37:39.478191,Altstadt,552.3,4.45,0.025
2025-12-08 23:37:39.478191,Altstadt,537.5,4.05,0.037
2025-12-09 00:37:39.478191,Altstadt,429.8,4.49,0.239
2025-12-09 01:37:39.478191,Altstadt,542.2,4.66,0.029
2025-12-09 02:37:39.478191,Altstadt,564.6,4.83,0.107
2025-12-09 03:37:39.478191,Altstadt,548.4,4.68,0.143
2025-12-09 04:37:39.478191,Altstadt,535.9,4.19,0.147
2025-12-09 05:37:39.478191,Altstadt,479.4,4.07,0.098
2025-12-09 06:37:39.478191,Altstadt,734.4,4.69,0.007
2025-12-09 07:37:39.478191,Altstadt,674.3,4.21,0.09
2025-12-09 08:37:39.478191,Altstadt,670.7,4.74,0.061
2025-12-09 09:37:39.478191,Altstadt,764.6,3.95,0.331
2025-12-09 10:37:39.478191,Altstadt,469.5,4.65,0.118
2025-12-09 11:37:39.478191,Altstadt,429.3,4.58,0.255
2025-12-09 12:37:39.478191,Altstadt,448.4,4.48,0.291
2025-12-09 13:37:39.478191,Altstadt,513.5,4.48,0.055
2025-12-09 14:37:39.478191,Altstadt,538.6,4.66,0.096
2025-12-09 15:37:39.478191,Altstadt,508.7,4.65,0.237
2025-12-09 16:37:39.478191,Altstadt,527.4,4.69,0.236
